	L155_col_1	L155_vitro_1	L155_vitro_2	L155_vitro_3	L155_col_2	L155_col_3
cds1159	135	10	4	8	125	184
cds116	38	351	335	650	44	152
cds1160	76	30	43	64	72	84
cds1161	8	9	4	11	25	1
cds1162	50	39	55	49	39	107
cds1163	103	72	40	41	34	118
cds1164	96	326	301	461	58	80
cds1165	35	145	140	188	10	50
cds1166	109	219	292	309	40	88
cds1167	16	68	43	100	22	9
cds1168	1	3	8	16	0	12
cds1169	174	198	290	331	73	354
cds117	227	94	138	169	206	555
cds1170	35	51	93	88	19	24
cds1171	58	17	30	26	30	119
cds1172	0	12	5	13	0	4
cds1173	33	360	320	544	41	75
cds1174	9	126	141	189	22	23
cds1175	3	159	121	180	10	32
cds1176	27	57	111	287	18	29
cds1177	88	275	280	350	72	118
cds1178	200	804	1062	1132	173	208
cds1179	44	512	621	751	44	101
cds118	63	17	47	27	27	57
cds1180	8	60	59	120	28	94
cds1181	77	203	234	183	109	148
cds1182	392	828	941	1322	347	654
cds1183	0	7	3	2	6	2
cds1184	4	1	4	7	0	1
cds1185	3	0	3	0	0	14
cds1186	106	2538	2705	3831	72	124
cds1187	27	104	122	180	14	36
cds1188	0	38	22	30	0	0
cds1189	40	339	360	577	58	42
cds119	159	149	158	196	46	172
cds1190	12	96	125	135	13	4
cds1191	73	562	714	630	69	96
cds1192	10	52	113	123	1	60
cds1193	3	16	43	23	12	37
cds1194	22	25	53	30	18	28
cds1195	16	48	54	80	8	28
cds1196	130	94	166	98	69	78
cds1197	1	20	20	29	0	1
cds1198	67	76	150	143	57	80
cds1199	6	13	28	63	4	19
cds12	29	43	63	59	57	107
cds120	26	15	11	38	17	57
cds1200	23	46	87	121	33	21
cds1201	4	20	14	37	0	6
cds1202	26	49	94	109	27	31
cds1203	4	24	23	33	0	0
cds1204	42	55	100	102	11	21
cds1205	48	187	161	236	14	74
cds1206	70	216	249	445	75	91
cds1207	47	243	332	341	8	31
cds1208	233	2255	2397	3521	164	382
cds1209	184	352	419	632	69	206
cds121	64	66	59	105	45	115
cds1210	67	158	193	215	44	51
cds1211	25	118	168	184	18	29
cds1212	1	41	18	20	7	12
cds1213	12	127	183	217	8	19
cds1214	3	32	37	100	0	7
cds1215	414	770	925	1557	228	532
cds1216	100	797	955	1345	108	107
cds1217	33	576	642	707	42	58
cds1218	9	323	325	661	6	39
cds1219	27	254	364	812	11	42
cds122	39	81	82	98	29	118
cds1220	55	510	546	678	75	98
cds1221	39	2417	2445	7231	24	26
cds1222	2	269	275	469	9	24
cds1223	5	265	306	403	25	5
cds1224	92	5422	5975	3892	135	157
cds1225	5	34	23	42	2	0
cds1226	2	26	5	21	5	19
cds1227	5	70	57	75	2	5
cds1228	29	92	104	116	20	21
cds1229	9	20	26	34	8	17
cds123	1763	1356	1673	1502	918	2117
cds1230	99	345	439	532	81	164
cds1231	9	36	40	56	14	39
cds1232	0	0	0	3	6	8
cds1233	2	9	20	8	0	1
cds1234	25	51	63	43	9	4
cds1235	14	78	62	140	0	16
cds1236	15	162	143	234	3	46
cds1237	62	452	467	591	48	90
cds1238	373	1034	1243	1413	389	557
cds1239	103	302	297	393	41	91
cds124	60	37	37	41	66	97
cds1240	58	137	177	282	19	36
cds1241	0	0	1	0	0	0
cds1242	1	25	30	42	0	1
cds1243	14	41	60	76	0	14
cds1244	70	250	379	399	21	52
cds1245	152	642	840	618	20	176
cds1246	35	63	70	149	12	51
cds1247	87	698	780	1165	54	94
cds1248	25	278	268	314	25	51
cds1249	19	132	114	182	27	43
cds125	7	48	34	61	10	7
cds1250	39	150	144	208	45	87
cds1251	10	19	26	35	0	14
cds1252	3	15	18	26	1	0
cds1253	48	41	64	103	5	34
cds1254	23	20	32	22	10	62
cds1255	29	225	200	257	2	12
cds1256	30	79	83	211	8	43
cds1257	106	236	335	480	59	109
cds1258	19	80	80	135	3	35
cds1259	0	27	15	36	0	0
cds126	210	1583	1955	3440	201	466
cds1260	8	36	35	60	7	9
cds1261	46	170	199	319	33	44
cds1262	7	61	48	55	13	12
cds1263	17	11	9	5	23	14
cds1264	14	11	8	4	22	12
cds1265	50	13	7	21	57	63
cds1266	14	50	27	68	14	40
cds1267	69	168	186	283	35	67
cds1268	14	92	110	162	2	17
cds1269	15	113	139	177	6	16
cds127	0	20	9	9	0	0
cds1270	33	109	70	105	27	22
cds1271	18	49	73	72	8	21
cds1272	11	27	15	16	1	6
cds1273	19	28	19	54	6	13
cds1274	0	107	82	110	0	19
cds1275	22	106	120	169	4	5
cds1276	20	56	61	96	7	24
cds1277	53	566	531	716	62	80
cds1278	7	29	33	26	16	6
cds1279	17	22	31	39	16	58
cds128	0	0	0	0	0	0
cds1280	169	348	291	498	228	290
cds1281	101	550	672	939	58	118
cds1282	478	2888	2972	2941	378	810
cds1283	191	543	523	821	252	301
cds1284	89	827	814	960	89	109
cds1285	13	73	94	112	4	8
cds1286	83	393	408	422	64	115
cds1287	76	109	87	149	26	43
cds1288	19	117	97	248	34	80
cds1289	82	684	668	811	37	101
cds129	0	14	12	26	2	0
cds1290	140	169	134	182	186	213
cds1291	85	479	529	707	140	123
cds1292	1012	5172	5191	8757	1519	1847
cds1293	330	930	966	1616	371	461
cds1294	13	1	2	0	15	6
cds1295	2	0	3	11	1	2
cds1296	2	44	76	59	6	16
cds1297	55	2	0	13	49	76
cds1298	19	127	122	138	2	29
cds1299	23	119	175	189	22	21
cds13	13	107	134	121	38	48
cds130	28	218	220	209	11	73
cds1300	120	146	147	156	116	93
cds1301	28	289	274	332	34	46
cds1302	5	167	101	190	11	14
cds1303	93	1	3	0	9	66
cds1304	19	0	3	38	0	5
cds1305	2	1	6	9	0	0
cds1306	24	7	11	20	29	23
cds1307	489	203	290	367	161	430
cds1308	241	780	710	636	294	500
cds1309	44	119	94	252	19	56
cds131	13	48	46	38	5	20
cds1310	19	139	53	166	10	23
cds1311	136	281	221	359	162	360
cds1312	1	33	23	35	5	10
cds1313	352	700	861	1203	108	344
cds1314	12	99	130	129	7	29
cds1315	55	237	243	425	86	54
cds1316	25	97	99	75	12	33
cds1317	7	26	17	11	9	6
cds1318	18	66	91	97	19	60
cds1319	52	8	12	25	27	32
cds132	24	83	76	99	12	31
cds1320	27	137	136	268	24	66
cds1321	43	208	238	195	33	42
cds1322	76	165	170	232	80	172
cds1323	18	18	43	51	24	24
cds1324	29	160	198	187	1	35
cds1325	2	29	20	41	0	2
cds1326	0	28	37	26	0	0
cds1327	60	447	484	562	22	104
cds1328	19	137	120	159	18	51
cds1329	61	188	229	302	64	110
cds133	0	38	46	47	16	4
cds1330	20	45	51	55	33	41
cds1331	12	21	24	53	10	11
cds1332	9	3	24	25	10	11
cds1333	30	23	36	26	28	31
cds1334	63	119	168	240	53	109
cds1335	3	6	6	14	0	0
cds1336	70	258	279	405	27	78
cds1337	6	105	107	87	0	6
cds1338	15	160	183	250	15	30
cds1339	42	142	181	126	10	31
cds134	21	71	101	178	19	45
cds1340	58	66	65	51	22	64
cds1341	138	57	38	43	184	370
cds1342	15	50	36	45	12	22
cds1343	18	82	71	203	7	14
cds1344	21	69	73	117	39	20
cds1345	26	177	203	204	17	51
cds1346	19	13	13	11	5	4
cds1347	20	103	99	122	10	21
cds1348	204	1082	1105	1479	141	236
cds1349	15	33	16	6	8	5
cds135	41	248	273	447	27	43
cds1350	185	175	276	527	139	371
cds1351	31	20	37	57	23	44
cds1352	52	55	63	129	3	100
cds1353	43	120	124	210	63	97
cds1354	95	85	109	122	107	177
cds1355	1051	154	162	178	473	1515
cds1356	0	1	10	6	0	1
cds1357	24	114	144	178	28	41
cds1358	4	40	15	24	8	0
cds1359	11	141	117	133	26	25
cds136	32	200	215	385	15	23
cds1360	209	342	476	497	142	283
cds1361	29	74	79	123	28	54
cds1362	44	66	108	143	32	77
cds1363	76	81	47	47	60	113
cds1364	0	9	10	5	6	7
cds1365	9	159	127	170	10	52
cds1366	67	207	202	283	21	62
cds1367	3	4	1	5	0	16
cds1368	179	24	29	26	213	206
cds1369	3	3	16	9	8	0
cds137	15	47	76	124	8	19
cds1370	72	42	52	23	17	64
cds1371	78	17	28	28	98	107
cds1372	10	3	11	1	0	5
cds1373	13	25	17	18	9	36
cds1374	1	229	196	428	10	18
cds1375	78	381	433	433	70	136
cds1376	5	22	26	41	3	5
cds1377	13	90	117	124	13	32
cds1378	8	173	136	160	18	38
cds1379	9	88	86	112	17	34
cds138	30	206	231	340	44	45
cds1380	220	53	69	60	52	163
cds1381	40	141	186	162	18	121
cds1382	19	167	113	317	12	3
cds1383	167	687	728	992	118	256
cds1384	27	36	24	49	21	28
cds1385	2	8	22	7	9	1
cds1386	32	45	39	55	33	52
cds1387	39	477	545	813	48	83
cds1388	74	278	229	339	37	110
cds1389	9	39	34	61	6	19
cds139	72	102	65	102	44	152
cds1390	0	7	14	18	10	0
cds1391	17	56	62	123	18	33
cds1392	26	17	18	52	18	50
cds1393	23	196	259	285	41	30
cds1394	160	159	155	188	75	119
cds1395	11	320	317	437	30	22
cds1396	20	7	12	18	4	5
cds1397	28	55	39	69	40	50
cds1398	13	127	96	173	9	4
cds1399	2	9	7	13	7	5
cds14	74	15	12	10	18	75
cds140	81	413	381	450	18	109
cds1400	4	10	7	16	8	3
cds1401	5	53	11	48	16	28
cds1402	0	16	19	19	4	17
cds1403	40	196	244	342	31	50
cds1404	13	70	89	122	7	18
cds1405	51	310	239	623	57	100
cds1406	83	566	686	818	89	65
cds1407	97	256	256	275	107	160
cds1408	36	116	89	139	42	57
cds1409	11	45	60	71	9	15
cds141	9	19	11	23	5	11
cds1410	98	675	605	947	26	48
cds1411	31	117	141	200	36	86
cds1412	24	42	52	110	9	22
cds1413	4	9	22	29	8	23
cds1414	29	133	115	137	0	14
cds1415	87	129	103	103	63	145
cds1416	6	10	23	10	1	0
cds1417	172	314	298	239	112	209
cds1418	50	142	84	69	27	34
cds1419	188	397	280	592	122	203
cds142	47	125	144	118	14	90
cds1420	10	13	7	6	9	11
cds1421	95	0	2	4	74	78
cds1422	6	38	35	50	0	5
cds1423	167	1508	1666	1903	107	251
cds1424	26	113	125	189	8	21
cds1425	477	2295	2127	2330	162	449
cds1426	11	1	14	3	36	12
cds1427	106	103	116	307	70	136
cds1428	194	153	132	596	120	225
cds1429	15	23	12	8	52	54
cds143	252	2153	2238	2921	233	258
cds1430	10	23	30	44	10	2
cds1431	1	20	10	11	1	0
cds1432	14	146	184	301	17	67
cds1433	44	121	153	167	8	26
cds1434	17	194	218	237	25	12
cds1435	8	16	29	35	4	2
cds1436	9	32	18	34	0	9
cds1437	1	15	26	25	14	9
cds1438	6	3	7	21	1	9
cds1439	5	13	12	10	10	3
cds144	5	17	34	45	3	0
cds1440	64	16	43	17	31	61
cds1441	19	44	32	42	6	4
cds1442	0	3	0	16	0	0
cds1443	29	72	96	106	45	41
cds1444	42	249	256	288	22	43
cds1445	7	55	67	106	11	0
cds1446	32	290	292	540	27	16
cds1447	19	66	50	90	11	4
cds1448	12	93	89	121	6	16
cds1449	56	190	180	252	50	77
cds145	3	8	29	19	0	0
cds1450	150	745	656	734	95	137
cds1451	50	1	0	3	91	85
cds1452	29	1076	1224	1449	40	54
cds1453	4	34	30	47	8	12
cds1454	59	110	113	108	54	108
cds1455	0	6	5	7	0	7
cds1456	17	7	43	33	0	20
cds1457	15	1	11	4	3	0
cds1458	18	4	3	4	6	23
cds1459	12	0	0	0	10	3
cds146	18	104	99	131	10	26
cds1460	27	3	19	3	10	28
cds1461	12	41	37	71	8	15
cds1462	2	23	12	47	2	5
cds1463	18	120	147	216	20	60
cds1464	36	120	160	126	5	66
cds1465	399	766	943	1089	262	410
cds1466	25	29	22	22	19	26
cds1467	740	277	212	230	729	1301
cds1468	9	12	2	34	14	13
cds1469	6	4	4	8	2	17
cds147	1	227	203	481	4	8
cds1470	13	18	16	9	0	2
cds1471	246	2134	1954	1721	196	461
cds1472	31	229	180	206	27	39
cds1473	110	802	841	1477	73	156
cds1474	3	54	67	87	10	7
cds1475	16	95	73	93	15	13
cds1476	1	80	118	164	8	42
cds1477	5	51	55	81	21	45
cds1478	98	375	396	531	42	117
cds1479	19	142	104	92	17	3
cds148	7	136	164	226	18	10
cds1480	201	101	121	208	202	324
cds1481	27	3	8	6	148	65
cds1482	6	31	29	43	13	4
cds1483	0	6	14	12	0	3
cds1484	33	79	94	96	4	18
cds1485	1016	972	1190	1013	591	1393
cds1486	71	138	138	175	65	67
cds1487	60	375	489	522	26	58
cds1488	77	579	480	854	47	91
cds1489	51	5	13	31	22	14
cds149	51	340	519	724	28	144
cds1490	12	0	0	10	13	10
cds1491	4	3	6	20	10	7
cds1492	84	609	601	1260	60	114
cds1493	99	642	739	974	60	89
cds1494	34	195	237	209	32	85
cds1495	6	35	43	46	2	17
cds1496	75	387	408	631	146	124
cds1497	59	384	453	766	57	58
cds1498	8	71	77	66	4	5
cds1499	0	47	51	46	0	4
cds15	18	5	8	10	10	6
cds150	149	346	359	428	88	301
cds1500	52	921	1019	955	21	79
cds1501	20	207	233	259	10	47
cds1502	26	792	823	861	38	100
cds1503	253	3241	3480	3273	143	361
cds1504	200	3855	3940	5540	73	207
cds1505	26	159	135	121	45	55
cds1506	4	6	4	2	0	1
cds1507	11	11	29	33	7	10
cds1508	4	7	7	7	0	0
cds1509	0	4	6	15	5	0
cds151	121	244	347	421	81	156
cds1510	0	11	5	26	0	0
cds1511	5	185	171	234	15	8
cds1512	2969	1295	1529	1519	2403	2502
cds1513	7	42	64	49	29	17
cds1514	10	47	46	71	3	6
cds1515	533	773	909	896	299	543
cds1516	26	33	17	47	16	47
cds1517	7	21	8	13	2	5
cds1518	0	2	13	16	9	1
cds1519	23	62	79	91	31	74
cds152	2	118	121	67	3	6
cds1520	37	106	70	199	11	19
cds1521	8	20	15	8	2	19
cds1522	1193	351	257	535	1115	2319
cds1523	240	161	299	357	100	219
cds1524	201	138	233	230	77	287
cds1525	120	161	208	218	83	162
cds1526	40	64	125	135	23	20
cds1527	160	717	821	974	100	127
cds1528	385	1741	1866	2450	338	688
cds1529	42	112	80	124	85	66
cds153	15	123	142	81	5	20
cds1530	129	31	32	45	208	221
cds1531	418	3353	3374	3489	338	546
cds1532	56	279	313	502	48	170
cds1533	29	68	92	92	21	44
cds1534	4	102	141	207	10	3
cds1535	528	16	44	27	434	834
cds1536	47	486	560	756	61	49
cds1537	9	99	65	120	7	7
cds1538	38	238	261	333	32	43
cds1539	9	51	58	25	4	0
cds154	48	449	647	227	10	85
cds1540	15	25	19	40	15	17
cds1541	3	42	49	70	3	8
cds1542	4	257	243	340	20	24
cds1543	3	87	82	134	12	11
cds1544	192	1444	1640	1605	126	259
cds1545	63	484	512	742	42	60
cds1546	14	153	165	275	37	65
cds1547	835	183	181	225	740	1370
cds1548	247	1816	2166	3087	165	235
cds1549	41	333	345	375	62	83
cds155	16	13	35	36	15	13
cds1550	98	387	357	561	30	55
cds1551	14	62	57	46	6	29
cds1552	81	131	176	219	35	90
cds1553	46	1113	1289	1332	40	126
cds1554	58	116	150	160	64	100
cds1555	16	2	0	0	39	20
cds1556	6	32	27	43	12	14
cds1557	23	3	5	0	12	50
cds1558	92	93	133	163	53	106
cds1559	75	20	36	27	45	90
cds156	39	369	425	664	38	67
cds1560	12	0	0	3	46	49
cds1561	30	113	136	106	27	28
cds1562	87	261	297	432	35	132
cds1563	3	20	9	22	4	6
cds1564	33	270	326	469	9	32
cds1565	0	2	0	0	0	0
cds1566	204	355	419	709	210	314
cds1567	39	150	134	212	35	41
cds1568	209	2993	3233	3827	184	321
cds1569	5	13	6	30	0	13
cds157	4	14	26	36	9	0
cds1570	9	8	19	8	3	0
cds1571	3	44	31	67	7	7
cds1572	6	113	88	153	2	48
cds1573	3	41	47	56	6	3
cds1574	3	39	104	109	0	6
cds1575	1	26	29	45	0	0
cds1576	92	363	410	592	70	94
cds1577	537	5043	5222	7513	561	817
cds1578	67	184	194	312	41	67
cds1579	10	78	106	144	11	23
cds158	33	196	101	159	42	34
cds1580	54	206	226	386	22	58
cds1581	37	512	494	850	60	128
cds1582	88	796	785	1324	67	105
cds1583	62	903	945	1585	50	76
cds1584	1431	9066	9528	10864	1834	2717
cds1585	280	542	552	809	109	303
cds1586	86	380	558	721	25	93
cds1587	8	182	221	347	4	79
cds1588	44	67	133	137	16	96
cds1589	31	101	119	117	62	98
cds159	82	394	462	566	89	231
cds1590	168	1407	1506	2222	143	260
cds1591	45	202	236	391	63	84
cds1592	0	21	15	24	0	0
cds1593	235	350	362	421	210	287
cds1594	12	0	0	8	1	11
cds1595	26	54	62	74	18	21
cds1596	19	7	14	20	0	19
cds1597	1853	6219	6439	7470	1097	2397
cds1598	226	190	197	200	152	305
cds1599	13	106	119	216	27	47
cds16	18	8	2	11	14	11
cds160	38	233	226	290	6	66
cds1600	27	127	112	261	12	26
cds1601	16	53	73	53	19	9
cds1602	43	104	93	197	63	148
cds1603	23	43	75	71	0	36
cds1604	16	15	0	4	5	53
cds1605	193	1017	1204	1441	129	213
cds1606	34	134	98	120	35	41
cds1607	12	0	6	17	0	8
cds1608	5	16	22	27	10	10
cds1609	17	87	77	177	19	33
cds161	40	284	383	580	36	28
cds1610	74	163	214	181	48	49
cds1611	294	4981	5994	7565	222	424
cds1612	36	25	20	52	32	43
cds1613	32	53	63	72	15	41
cds1614	14	107	108	121	31	24
cds1615	3	0	0	0	1	3
cds1616	106	944	1158	1589	51	101
cds1617	195	587	715	899	97	158
cds1618	5	46	65	101	8	21
cds1619	10	385	380	646	3	36
cds162	459	666	718	1108	227	521
cds1620	452	50	88	156	192	471
cds1621	42	7	28	35	26	84
cds1622	495	1295	1382	1790	196	530
cds1623	69	182	162	182	47	97
cds1624	15	67	48	91	12	19
cds1625	25	17	27	27	17	33
cds1626	29	159	116	227	35	35
cds1627	84	216	174	237	28	111
cds1628	5	8	4	9	13	0
cds1629	0	2	4	4	2	1
cds163	100	212	238	298	77	202
cds1630	22	183	150	238	23	34
cds1631	1	15	26	43	1	0
cds1632	22	154	191	254	8	11
cds1633	38	145	132	254	13	43
cds1634	6	31	21	27	2	0
cds1635	13	95	135	152	4	31
cds1636	9	9	30	38	12	21
cds1637	22	118	91	257	5	19
cds1638	69	277	304	400	113	112
cds1639	10	21	43	41	35	8
cds164	0	47	75	73	9	13
cds1640	8	6	5	1	6	1
cds1641	31	36	34	69	16	22
cds1642	50	101	108	263	32	46
cds1643	27	3	10	2	32	65
cds1644	7	5	6	10	12	29
cds1645	13	1	6	3	0	12
cds1646	4	0	0	0	11	4
cds1647	85	163	191	304	109	61
cds1648	91	108	148	99	20	51
cds1649	119	214	283	281	87	172
cds165	5	22	36	52	9	10
cds1650	72	96	177	188	13	49
cds1651	0	11	0	7	6	0
cds1652	60	22	17	12	20	43
cds1653	492	1826	1839	1804	549	574
cds1654	37	749	857	891	58	62
cds1655	110	2198	2258	3084	152	133
cds1656	37	594	654	1037	28	82
cds1657	150	1672	1783	2884	146	291
cds1658	19	377	431	595	11	32
cds1659	127	1211	1275	2016	63	169
cds166	442	1540	2134	2028	283	819
cds1660	10	163	181	328	2	40
cds1661	1	48	58	103	13	5
cds1662	156	1958	2066	3731	180	343
cds1663	7	156	226	301	32	8
cds1664	27	555	568	1073	36	53
cds1665	22	343	323	462	26	6
cds1666	23	263	256	359	26	15
cds1667	28	654	663	1247	36	57
cds1668	11	286	345	447	25	30
cds1669	51	1037	933	1543	51	90
cds167	13	21	16	40	1	3
cds1670	123	3136	3293	4214	121	219
cds1671	59	1131	1193	1266	57	90
cds1672	86	2382	2725	2367	54	70
cds1673	108	3028	3627	3279	144	284
cds1674	25	833	1062	1493	16	63
cds1675	24	415	488	769	27	49
cds1676	203	2970	3143	5976	219	370
cds1677	61	1300	1253	1824	129	174
cds1678	102	2052	2356	2710	89	162
cds1679	167	3092	3149	4404	198	203
cds168	402	256	285	368	153	432
cds1680	153	1930	2012	3393	161	178
cds1681	52	502	495	665	45	94
cds1682	0	13	25	36	0	0
cds1683	1494	16681	18341	26853	1667	1970
cds1684	199	4795	5064	5824	275	368
cds1685	902	5475	5792	6210	797	979
cds1686	122	534	582	568	70	182
cds1687	4	6	3	7	0	8
cds1688	17	13	13	32	3	8
cds1689	8	5	7	23	12	30
cds169	96	1151	1084	1222	199	264
cds1690	877	4781	5104	5224	644	1143
cds1691	554	4750	5086	8389	646	930
cds1692	122	1154	1141	2060	52	165
cds1693	51	1962	2089	3718	39	100
cds1694	50	525	623	1621	79	105
cds1695	32	629	553	1170	26	64
cds1696	16	102	100	204	17	23
cds1697	64	259	267	423	68	105
cds1698	32	10	12	12	11	31
cds1699	9	152	193	300	28	32
cds17	0	7	5	18	3	2
cds170	980	728	1035	1204	513	1092
cds1700	2	51	73	43	0	0
cds1701	72	398	312	720	44	2
cds1702	123	371	438	548	51	72
cds1703	20	202	177	228	35	87
cds1704	61	175	179	266	35	188
cds1705	4	14	6	19	1	0
cds1706	56	10	3	7	44	66
cds1707	136	10	0	6	106	273
cds1708	17	1	5	8	11	14
cds1709	45	48	59	79	64	69
cds171	90	204	627	453	69	104
cds1710	86	24	23	98	74	107
cds1711	3	12	20	17	0	1
cds1712	236	222	303	336	137	321
cds1713	26	3	18	11	21	15
cds1714	249	12	16	39	269	549
cds1715	9	44	28	60	5	19
cds1716	16	63	86	102	29	27
cds1717	9	0	26	7	9	11
cds1718	49	42	93	89	21	55
cds1719	9	131	158	202	33	24
cds172	21	177	401	194	32	60
cds1720	8	85	89	91	13	16
cds1721	24	67	81	99	9	27
cds1722	0	0	0	2	0	3
cds1723	5	6	2	1	0	9
cds1724	16	13	11	24	11	16
cds1725	11	60	44	55	5	5
cds1726	68	574	655	675	71	87
cds1727	0	0	2	0	0	0
cds1728	166	306	405	1116	98	273
cds1729	0	5	11	22	0	1
cds173	19	56	201	101	7	26
cds1730	39	408	345	1045	28	20
cds1731	9	14	21	26	17	2
