	L404_col_1	L404_col_2	L404_vitro_1	L404_vitro_2	L404_vitro_3	L404_col_3
cds1067	41	5	14	3	14	30
cds1068	31	3	4	9	20	19
cds1069	325	19	107	96	330	122
cds107	17222	1161	652	632	1526	16565
cds1070	279	29	718	667	1072	380
cds1071	424	59	696	562	1370	238
cds1072	33	8	190	130	391	16
cds1073	45	6	101	90	424	25
cds1074	247	10	310	364	926	156
cds1075	27	2	5	4	11	3
cds1076	1838	148	975	903	2721	1186
cds1077	474	31	262	360	844	458
cds1078	1573	127	373	323	810	723
cds1079	836	61	73	60	278	134
cds108	545	43	117	96	263	279
cds1080	1942	164	240	252	498	1291
cds1081	65	7	150	141	480	33
cds1082	0	2	21	18	59	1
cds1083	957	88	50	47	98	428
cds1084	251	12	25	18	55	96
cds1085	46	1	7	14	33	25
cds1086	127	12	7	4	25	90
cds1087	70	3	266	333	713	62
cds1088	109	10	611	682	1454	44
cds1089	60	7	757	798	1534	31
cds109	336	42	253	302	735	133
cds1090	11	3	12	6	15	0
cds1091	615	55	609	495	1531	335
cds1092	15	1	7	5	20	3
cds1093	15	2	29	26	61	19
cds1094	373	33	24	26	73	145
cds1095	48	5	17	14	24	81
cds1096	75	5	28	21	25	35
cds1097	379	29	36	41	63	213
cds1098	940	55	40	56	57	399
cds1099	191	25	80	78	165	156
cds11	1	1	5	11	14	1
cds110	44	2	7	16	42	35
cds1100	372	20	70	70	211	99
cds1101	136	10	13	18	58	72
cds1102	2035	98	94	102	174	890
cds1103	264	20	80	65	194	176
cds1104	19	3	133	153	263	14
cds1105	165	19	94	99	260	122
cds1106	19	5	12	12	69	16
cds1107	103	10	48	47	157	126
cds1108	136	12	145	135	449	80
cds1109	433	23	104	93	297	226
cds111	181	11	30	25	49	226
cds1110	247	23	58	58	138	131
cds1111	68	4	67	92	174	18
cds1112	238	23	72	74	226	110
cds1113	476	23	82	92	226	160
cds1114	0	1	3	3	12	0
cds1115	3	1	1	5	18	2
cds1116	617	46	203	164	608	283
cds1117	412	40	224	166	582	186
cds1118	944	84	328	339	822	468
cds1119	0	0	3	0	3	0
cds112	37	1	7	8	6	21
cds1120	2506	222	324	350	1104	1242
cds1121	33	6	2	4	18	1
cds1122	171	8	23	14	57	33
cds1123	337	27	337	272	731	502
cds1124	74	8	147	131	391	34
cds1125	418	38	754	687	1870	184
cds1126	737	57	1058	844	2999	212
cds1127	330	26	512	437	732	340
cds1128	103	10	286	217	626	56
cds1129	48	2	167	184	363	1
cds113	26	0	2	1	4	3
cds1130	125	16	239	215	532	89
cds1131	79	8	167	141	407	41
cds1132	129	16	291	275	902	73
cds1133	184	12	247	193	705	67
cds1134	102	9	173	130	473	64
cds1135	144	15	301	254	1099	89
cds1136	53	9	101	111	352	48
cds1137	113	3	102	118	346	21
cds1138	57	3	98	79	256	28
cds1139	68	5	75	59	181	12
cds114	43	7	9	15	26	16
cds1140	13	3	64	26	111	21
cds1141	12	6	413	246	594	26
cds1142	345	20	884	699	2181	148
cds1143	15	2	118	92	327	0
cds1144	44	3	85	67	367	42
cds1145	31	1	58	50	117	50
cds1146	37	5	7	3	20	35
cds1147	284	24	56	58	88	219
cds1148	190	23	120	152	373	171
cds1149	243	26	268	247	694	228
cds115	598	55	91	81	148	530
cds1150	236	22	341	332	828	67
cds1151	424	47	277	262	779	168
cds1152	26	3	53	25	101	6
cds1153	23	2	63	39	97	21
cds1154	189	7	164	119	349	91
cds1155	56	3	46	55	142	62
cds1156	106	10	113	92	356	41
cds1157	103	10	113	95	267	94
cds1158	15	0	17	24	64	15
cds1159	44	5	37	34	51	12
cds116	2442	94	46	64	53	1671
cds1160	198	22	182	150	370	70
cds1161	1443	82	900	701	1844	484
cds1162	253	14	303	244	776	87
cds1163	117	16	169	141	400	58
cds1164	53	6	55	62	128	58
cds1165	96	3	37	60	131	70
cds1166	2	2	7	4	27	10
cds1167	8	0	2	5	15	5
cds1168	83	4	37	35	70	34
cds1169	167	17	24	12	40	82
cds117	615	54	13	23	16	472
cds1170	312	24	10	17	25	71
cds1171	0	0	5	1	1	0
cds1172	0	0	0	0	0	0
cds1173	12	3	9	7	20	11
cds1174	19	4	8	6	18	6
cds1175	9	1	1	8	22	5
cds1176	0	0	1	3	0	1
cds1177	5	1	0	0	8	0
cds1178	18	2	7	8	6	14
cds1179	0	2	1	3	2	0
cds118	251	18	265	266	707	283
cds1180	0	0	0	0	3	0
cds1181	9	1	0	2	3	1
cds1182	0	0	1	0	1	0
cds1183	59	12	0	2	11	30
cds1184	229	24	4	4	10	161
cds1185	147	16	251	234	639	127
cds1186	10	3	12	14	27	0
cds1187	34	1	26	9	24	6
cds1188	261	12	47	39	167	109
cds1189	95	8	12	7	16	43
cds119	1807	124	180	238	541	1031
cds1190	2805	134	97	57	129	2409
cds1191	142	17	121	99	213	76
cds1192	90	9	48	39	115	58
cds1193	181	16	69	45	81	97
cds1194	326	33	110	94	168	128
cds1195	624	64	200	138	396	152
cds1196	5533	367	556	411	703	1969
cds1197	506	38	111	140	248	190
cds1198	1202	107	518	470	1416	497
cds1199	28	1	6	11	11	0
cds12	14	4	5	7	20	11
cds120	1179	141	923	879	2083	708
cds1200	520	38	41	65	153	436
cds1201	39	4	39	40	98	23
cds1202	31	6	83	133	292	25
cds1203	173	18	127	85	576	114
cds1204	1671	136	1244	1008	3063	648
cds1205	3365	254	191	188	294	2005
cds1206	68	5	25	23	82	81
cds1207	15	1	6	9	44	9
cds1208	381	44	393	375	791	316
cds1209	3	0	10	5	44	5
cds121	262	25	312	305	652	106
cds1210	102	5	313	305	897	109
cds1211	23	0	11	11	42	31
cds1212	11	0	15	7	45	8
cds1213	162	12	50	76	303	100
cds1214	237	38	63	89	311	261
cds1215	319	33	38	44	69	309
cds1216	88	9	27	19	89	60
cds1217	54	7	45	36	58	73
cds1218	279	25	232	216	352	229
cds1219	14	3	22	19	45	18
cds122	134	10	118	94	294	82
cds1220	381	26	71	66	154	174
cds1221	64	7	7	3	17	30
cds1222	214	18	26	45	56	91
cds1223	664	72	61	100	415	515
cds1224	23	3	77	95	93	49
cds1225	156	12	6	15	33	19
cds1226	9	3	16	15	19	31
cds1227	147	17	1097	687	1346	62
cds1228	728	68	1836	1506	3996	411
cds1229	168	9	55	55	209	89
cds123	37	5	2	4	14	28
cds1230	153	14	31	43	94	106
cds1231	4036	280	405	308	494	2858
cds1232	626	61	292	301	585	583
cds1233	188	14	56	65	142	196
cds1234	101	6	16	18	37	11
cds1235	303	14	53	42	125	185
cds1236	57	3	19	24	38	67
cds1237	47	1	1	5	12	2
cds1238	11	2	3	1	11	2
cds1239	20	4	7	8	25	3
cds124	44	3	2	10	37	4
cds1240	904	59	59	78	158	339
cds1241	0	0	0	0	0	0
cds1242	116	12	26	31	93	118
cds1243	752	82	715	558	1565	150
cds1244	757	51	291	291	633	530
cds1245	294	16	166	114	232	99
cds1246	1386	123	212	172	453	815
cds1247	1184	102	155	121	209	1077
cds1248	1534	121	585	555	1396	752
cds1249	147	13	107	91	242	55
cds125	530	49	64	84	145	267
cds1250	157	11	58	52	84	108
cds1251	694	47	48	46	60	361
cds1252	37	2	2	4	1	17
cds1253	178	23	241	201	700	149
cds1254	1172	80	131	127	355	903
cds1255	686	38	98	74	215	113
cds1256	188	7	112	78	181	140
cds1257	32	2	13	10	62	9
cds1258	256	16	21	31	27	115
cds1259	126	11	855	911	1763	128
cds126	342	36	48	38	65	144
cds1260	82	12	52	38	95	63
cds1261	262	18	54	61	181	307
cds1262	124	9	72	54	234	46
cds1263	126	6	41	34	152	50
cds1264	76	7	19	17	33	7
cds1265	40	5	14	15	72	12
cds1266	213	17	34	53	115	146
cds1267	40	1	2	10	21	6
cds1268	510	40	364	263	398	599
cds1269	769	67	448	410	881	598
cds127	2040	160	118	122	316	827
cds1270	689	52	45	77	139	897
cds1271	1730	103	295	245	852	456
cds1272	190	18	48	35	113	43
cds1273	0	0	0	0	0	0
cds1274	556	26	61	89	236	221
cds1275	278	13	36	39	138	32
cds1276	317	11	34	38	77	77
cds1277	57	5	4	2	9	52
cds1278	108	9	5	10	21	40
cds1279	2068	105	55	127	227	671
cds128	1347	96	126	105	109	339
cds1280	7081	401	81	272	476	1710
cds1281	39	1	5	4	21	10
cds1282	24	1	5	6	29	12
cds1283	57	6	213	91	582	17
cds1284	147	12	1665	423	5318	105
cds1285	443	40	2572	725	9366	191
cds1286	173	23	15	13	48	139
cds1287	258	29	18	31	79	189
cds1288	93	13	20	15	66	91
cds1289	14	2	16	21	28	4
cds129	1233	132	32	37	66	613
cds1290	0	0	6	0	7	0
cds1291	19	1	21	8	65	14
cds1292	4	1	3	6	31	0
cds1293	51	5	13	6	15	17
cds1294	16	0	1	6	7	0
cds1295	51	4	12	24	35	22
cds1296	131	15	91	68	212	58
cds1297	293	33	96	113	360	87
cds1298	77	3	88	83	182	39
cds1299	180	20	136	113	290	94
cds13	38	7	22	26	68	27
cds130	2324	218	849	798	2456	873
cds1300	225	19	146	119	554	95
cds1301	4	1	24	51	96	24
cds1302	128	10	26	16	45	78
cds1303	14	2	20	9	17	15
cds1304	137	13	128	118	231	118
cds1305	0	0	4	2	3	0
cds1306	0	0	5	3	11	0
cds1307	42	0	13	14	30	0
cds1308	1848	196	1377	1082	3183	783
cds1309	0	0	2	3	27	0
cds131	82	7	27	16	102	47
cds1310	469	36	24	32	69	316
cds1311	183	19	9	33	25	110
cds1312	66	2	11	11	18	20
cds1313	36	4	8	17	13	15
cds1314	49	1	18	26	31	9
cds1315	53	6	7	12	20	47
cds1316	0	1	5	3	2	0
cds1317	12	0	9	18	20	4
cds1318	134	15	86	87	267	48
cds1319	611	56	1159	882	1953	432
cds132	0	0	5	8	30	3
cds1320	761	44	775	611	1622	334
cds1321	25	6	58	48	159	7
cds1322	394	22	161	99	416	138
cds1323	1706	162	780	660	2149	538
cds1324	25	6	68	113	207	19
cds1325	720	58	1072	978	2641	754
cds1326	113	15	187	197	449	44
cds1327	572	53	564	519	1522	412
cds1328	93	8	2	19	43	122
cds1329	39	3	3	2	4	22
cds133	9	0	5	0	13	7
cds1330	542	35	87	86	244	375
cds1331	169	16	117	119	480	100
cds1332	45	9	86	82	292	7
cds1333	730	52	293	320	744	486
cds1334	232	24	224	235	641	232
cds1335	18	0	3	5	4	3
cds1336	482	36	620	370	757	197
cds1337	1720	156	721	514	1496	547
cds1338	186	10	108	68	197	317
cds1339	30	6	6	8	34	5
cds134	54	5	48	46	153	6
cds1340	23	4	17	15	47	17
cds1341	145	4	24	20	64	106
cds1342	804	66	378	324	897	313
cds1343	449	33	722	493	897	105
cds1344	630	76	672	496	1342	344
cds1345	18	3	16	18	44	3
cds1346	1130	88	1578	1291	2895	383
cds1347	36214	2016	302	252	331	15225
cds1348	57	1	1	3	2	21
cds1349	40	0	21	12	39	31
cds135	1579	121	504	393	1453	658
cds1350	59	5	32	25	80	23
cds1351	2487	154	49	52	65	1773
cds1352	22	0	10	11	31	59
cds1353	1148	88	1252	1233	2342	655
cds1354	394	49	383	363	1104	240
cds1355	554	36	906	645	1888	325
cds1356	7	3	157	82	297	11
cds1357	153	23	212	153	591	82
cds1358	148	18	213	151	266	104
cds1359	39	1	63	43	94	54
cds136	58	7	61	30	157	6
cds1360	10	3	11	7	9	6
cds1361	11	0	18	21	39	0
cds1362	56	3	84	89	220	23
cds1363	88	5	124	149	295	23
cds1364	155	16	90	115	504	15
cds1365	2393	233	2418	2124	6392	1501
cds1366	266	17	312	260	727	83
cds1367	264	15	43	35	91	202
cds1368	44	5	11	3	17	15
cds1369	127	10	19	21	61	16
cds137	24	1	22	22	66	8
cds1370	328	18	29	40	115	145
cds1371	163	20	17	12	12	86
cds1372	196	21	37	24	82	90
cds1373	227	20	82	80	174	252
cds1374	109	8	30	45	88	31
cds1375	26	2	9	12	25	23
cds1376	4876	344	1316	898	3279	3121
cds1377	1138	67	330	235	587	674
cds1378	695	62	328	227	672	618
cds1379	3	1	50	52	119	7
cds138	47	0	21	7	32	26
cds1380	131	14	62	53	161	63
cds1381	12	1	4	3	16	3
cds1382	289	26	21	28	85	74
cds1383	185	12	161	136	453	108
cds1384	142	16	21	13	40	54
cds1385	24	2	3	1	21	1
cds1386	110	11	20	15	22	84
cds1387	151	8	494	405	834	153
cds1388	229	18	212	275	729	164
cds1389	85	8	143	107	405	65
cds139	252	10	126	113	256	190
cds1390	313	17	330	218	579	179
cds1391	429	31	4	13	33	117
cds1392	177	18	60	33	73	118
cds1393	880	91	159	183	530	534
cds1394	133	9	456	478	1018	82
cds1395	60	4	58	45	61	61
cds1396	927	78	1064	651	2554	486
cds1397	334	17	364	244	786	179
cds1398	405	24	274	238	580	237
cds1399	80	16	76	69	162	65
cds14	20	2	19	12	11	23
cds140	36	2	26	30	35	21
cds1400	22	0	1	13	9	31
cds1401	3	0	0	0	0	0
cds1402	11	1	0	0	4	0
cds1403	1862	110	29	25	48	326
cds1404	156	16	68	77	138	73
cds1405	0	0	0	0	0	0
cds1406	0	0	0	0	0	0
cds1407	0	0	0	1	0	0
cds1408	0	0	0	0	0	0
cds1409	361	26	43	58	83	301
cds141	68	9	33	21	51	19
cds1410	794	58	57	56	64	746
cds1411	15	3	10	4	34	0
cds1412	313	11	93	38	143	37
cds1413	258	15	37	19	39	98
cds1414	46	2	6	11	25	12
cds1415	2870	210	90	59	138	2098
cds1416	59	4	2	3	10	7
cds1417	0	1	2	2	0	0
cds1418	29	7	1	0	6	29
cds1419	2372	141	38	16	24	1534
cds142	349	26	13	12	15	113
cds1420	8	0	3	3	9	46
cds1421	800	54	64	53	74	673
cds1422	324	21	57	18	105	25
cds1423	1351	102	112	70	237	845
cds1424	1037	75	69	57	180	239
cds1425	2788	191	244	164	455	767
cds1426	23742	1912	1641	999	1707	12008
cds1427	167	11	9	0	11	12
cds1428	934	58	38	27	26	395
cds1429	82	8	9	4	23	45
cds143	17	1	4	3	5	13
cds1430	75	6	26	10	37	0
cds1431	128	6	22	14	46	37
cds1432	13	1	1	1	0	5
cds1433	1130	72	79	41	103	538
cds1434	997	69	106	79	89	309
cds1435	535	37	74	59	104	434
cds1436	214	22	14	25	77	20
cds1437	61	3	3	2	8	42
cds1438	209	10	46	30	89	121
cds1439	87	7	36	38	94	18
cds144	7	0	3	6	11	0
cds1440	514	67	261	184	526	299
cds1441	6	0	0	2	4	3
cds1442	1305	67	13	16	39	549
cds1443	319	25	33	30	41	156
cds1444	360	42	103	68	172	215
cds1445	8065	518	1133	792	1286	2230
cds1446	33	2	3	1	1	82
cds1447	14	0	6	0	3	10
cds1448	161	15	10	14	3	108
cds1449	50	4	6	7	11	20
cds145	16	3	33	44	145	48
cds1450	37	2	3	5	9	5
cds1451	18	3	10	7	10	19
cds1452	179	24	32	29	44	29
cds1453	35	6	2	3	7	25
cds1454	99	13	535	529	872	93
cds1455	47	3	22	14	37	44
cds1456	267	27	21	11	32	136
cds1457	1093	79	42	39	96	486
cds1458	173	10	21	14	24	60
cds1459	659	61	99	55	53	455
cds146	4715	373	7130	5536	14311	3073
cds1460	198	11	34	37	99	39
cds1461	55	2	9	4	5	26
cds1462	56	2	3	9	13	43
cds1463	113	12	7	2	12	62
cds1464	8	2	0	0	0	0
cds1465	15	6	27	14	73	0
cds1466	36	4	115	92	297	18
cds1467	24	5	12	8	56	18
cds1468	298	22	88	95	223	181
cds1469	308	17	50	50	162	104
cds147	2628	204	304	287	675	3147
cds1470	89	4	39	25	79	42
cds1471	70	5	0	2	6	49
cds1472	617	28	10	8	6	609
cds1473	585	50	154	130	361	843
cds1474	335	32	103	94	254	159
cds1475	67	6	43	54	151	12
cds1476	58	6	151	120	318	84
cds1477	434	44	396	373	1271	253
cds1478	73	11	25	21	53	31
cds1479	1888	124	391	398	642	1749
cds148	376	30	1122	1008	2888	157
cds1480	1454	111	2527	918	5258	429
cds1481	31	3	625	135	491	0
cds1482	24	4	26	22	84	23
cds1483	67	7	80	100	197	51
cds1484	21	3	80	68	293	15
cds1485	15	1	331	299	777	16
cds1486	689	50	84	74	186	257
cds1487	450	43	261	202	520	339
cds1488	140	15	88	79	219	140
cds1489	301	31	1237	693	2353	240
cds149	23	1	20	11	27	15
cds1490	312	25	250	260	897	157
cds1491	594	40	62	92	162	651
cds1492	636	56	125	140	295	384
cds1493	188	28	109	117	353	64
cds1494	92	6	74	51	144	22
cds1495	944	88	802	647	1867	470
cds1496	182	14	210	119	364	56
cds1497	491	32	309	227	441	197
cds1498	53	4	12	5	36	4
cds1499	40	1	17	13	55	0
cds15	375	38	69	62	86	151
cds150	2367	189	1688	1739	3271	1796
cds1500	166	12	83	90	227	95
cds1501	49	5	45	44	123	14
cds1502	317	23	204	126	379	254
cds1503	37	3	36	30	79	25
cds1504	43	12	70	67	213	32
cds1505	35	2	49	60	94	12
cds1506	731	59	494	327	980	942
cds1507	59	5	4	5	21	24
cds1508	328	23	133	159	354	255
cds1509	7	1	6	2	4	0
cds151	49	5	31	34	134	27
cds1510	3	2	8	0	15	3
cds1511	464	44	33	53	146	150
cds1512	123	12	109	95	182	333
cds1513	158	13	194	172	485	107
cds1514	34	8	106	104	334	62
cds1515	497	42	204	211	786	248
cds1516	506	44	399	249	807	259
cds1517	31	8	11	9	23	56
cds1518	1	2	5	12	10	8
cds1519	1	0	3	2	16	0
cds152	3	0	10	8	48	0
cds1520	37	6	13	14	54	30
cds1521	4	1	0	1	5	0
cds1522	6	0	3	1	0	3
cds1523	1285	110	244	215	353	845
cds1524	19	0	2	4	20	10
cds1525	78	6	14	22	55	61
cds1526	958	54	21	3	18	756
cds1527	356	24	237	181	788	269
cds1528	0	1	0	0	0	0
cds1529	117	8	13	4	13	19
cds153	15	0	30	32	35	56
cds1530	149	15	12	27	43	46
cds1531	1938	161	64	71	121	755
cds1532	70	2	25	11	58	25
cds1533	120	4	76	73	282	74
cds1534	73	4	71	73	139	28
cds1535	180	11	85	53	160	51
cds1536	169	8	85	57	202	71
cds1537	35	0	29	40	128	18
cds1538	397	31	90	153	395	159
cds1539	1568	124	740	607	1440	540
cds154	434	36	14	19	55	265
cds1540	141	11	120	131	282	86
cds1541	85	6	31	47	98	55
cds1542	345	30	41	60	129	389
cds1543	152	11	84	89	275	73
cds1544	661	49	94	98	175	871
cds1545	328	37	216	181	614	129
cds1546	1251	90	698	613	1896	406
cds1547	174	7	987	641	1979	56
cds1548	72	1	304	227	966	23
cds1549	26	4	66	67	196	3
cds155	339	24	79	138	356	136
cds1550	210	21	353	389	1022	111
cds1551	269	21	109	111	315	125
cds1552	480	46	161	117	490	292
cds1553	101	8	11	9	35	75
cds1554	336	34	80	73	190	224
cds1555	2053	160	178	96	190	700
cds1556	296	15	33	13	47	137
cds1557	2035	186	317	172	474	863
cds1558	76	12	12	4	53	46
cds1559	39	5	8	9	3	19
cds156	62	5	14	5	40	28
cds1560	55	7	24	8	35	27
cds1561	76	1	4	4	9	23
cds1562	443	27	60	34	74	219
cds1563	344	20	89	49	123	148
cds1564	223	27	78	68	137	157
cds1565	35	1	10	7	10	9
cds1566	3	3	3	5	0	1
cds1567	16	0	49	35	120	18
cds1568	1286	104	156	156	300	1027
cds1569	190	12	19	33	128	57
cds157	278	25	115	107	234	251
cds1570	546	46	61	82	244	429
cds1571	2	4	0	1	0	15
cds1572	445	34	34	20	25	262
cds1573	21	1	2	4	12	9
cds1574	535	49	340	304	757	304
cds1575	670	56	39	74	77	401
cds1576	76	14	97	128	261	76
cds1577	148	12	64	67	205	104
cds1578	45	2	14	7	49	2
cds1579	43	1	14	15	28	5
cds158	90	4	22	24	77	33
cds1580	55	4	86	122	225	26
cds1581	37	6	8	15	46	46
cds1582	505	33	117	60	123	167
cds1583	57	4	10	4	11	29
cds1584	14	2	105	93	306	31
cds1585	14	3	90	57	202	18
cds1586	249	24	94	97	262	172
cds1587	426	49	138	174	385	218
cds1588	1144	85	122	113	202	667
cds1589	108	5	19	17	35	33
cds159	128	12	25	22	108	40
cds1590	627	51	65	41	147	163
cds1591	147	17	40	29	89	93
cds1592	204	19	176	149	359	225
cds1593	78	3	11	9	34	85
cds1594	155	22	85	80	112	143
cds1595	313	21	152	129	319	283
cds1596	12	3	51	37	161	28
cds1597	28	4	31	27	172	25
cds1598	397	14	142	89	281	150
cds1599	4256	236	554	401	1411	1978
cds16	100	6	14	15	49	29
cds160	36	10	10	15	63	50
cds1600	518	39	59	38	192	212
cds1601	201	10	83	55	222	59
cds1602	511	38	123	128	410	218
cds1603	105	6	25	36	135	43
cds1604	4	0	0	1	0	0
cds1605	351	31	16	30	71	206
cds1606	197	16	138	136	196	193
cds1607	651	59	381	264	569	524
cds1608	153	17	143	132	223	173
cds1609	33	2	11	14	39	11
cds161	1490	125	326	260	576	1066
cds1610	284	16	53	49	139	156
cds1611	39	1	3	8	10	5
cds1612	40	9	5	7	24	9
cds1613	587	57	49	59	123	520
cds1614	4	0	1	11	7	0
cds1615	48	1	6	4	15	20
cds1616	31	5	4	5	14	16
cds1617	24	0	5	8	27	20
cds1618	11	3	21	13	52	1
cds1619	176	3	44	46	94	53
cds162	106	4	22	29	69	49
cds1620	4568	252	62	56	46	2631
cds1621	183	10	301	239	750	92
cds1622	619	51	509	368	998	354
cds1623	20	9	67	54	168	30
cds1624	0	0	0	0	0	0
cds1625	130	6	2	0	4	34
cds1626	101	8	4	1	6	42
cds1627	132	11	7	2	0	27
cds1628	289	30	594	544	1140	232
cds1629	3621	270	2260	1717	4114	2836
cds163	40	6	3	5	4	20
cds1630	182	11	58	59	149	102
cds1631	127	6	69	95	200	104
cds1632	12	0	19	14	77	16
cds1633	0	0	5	3	33	0
cds1634	299	28	243	196	545	226
cds1635	3246	303	2489	2438	5390	1331
cds1636	101	7	9	20	34	38
cds1637	15	0	1	2	5	6
cds1638	978	86	182	198	539	511
cds1639	20	3	4	6	63	20
cds164	7	5	3	5	5	7
cds1640	4	3	0	1	10	0
cds1641	0	0	1	0	0	0
cds1642	146	24	404	363	1393	77
cds1643	1405	92	3054	2155	6790	787
cds1644	168	15	1123	547	2301	96
cds1645	58	0	271	155	623	7
cds1646	124	11	479	262	1203	48
cds1647	236	17	146	110	249	190
cds1648	592	41	68	64	127	410
cds1649	275	13	79	59	178	95
cds165	6	6	2	1	0	6
cds1650	32	3	20	7	14	4
cds1651	61	5	16	19	56	59
cds1652	1616	137	444	409	987	824
cds1653	123	13	85	103	118	92
cds1654	1208	126	1228	1004	3141	759
cds1655	509	36	649	619	1686	266
cds1656	359	19	822	543	1745	200
cds1657	400	38	703	604	1647	185
cds1658	183	12	356	335	717	118
cds1659	7	0	6	2	7	0
cds166	488	46	528	375	1396	355
cds1660	28	2	12	11	30	31
cds1661	68	7	9	17	62	30
cds1662	62	7	14	23	63	45
cds1663	30	1	5	12	33	29
cds1664	246	19	22	14	32	183
cds1665	382	38	188	165	137	291
cds1666	77	11	27	32	68	38
cds1667	72	7	12	12	26	68
cds1668	4732	266	108	67	128	6511
cds1669	24	0	21	13	59	1
cds167	3834	286	1701	1205	4620	1684
cds1670	39	3	19	27	81	12
cds1671	1334	88	888	963	2031	722
cds1672	1	0	1	3	6	0
cds1673	44	3	16	13	68	37
cds1674	379	31	160	100	308	395
cds1675	1	0	4	2	2	0
cds1676	27	7	94	65	175	49
cds1677	70	2	9	10	15	8
cds1678	20	1	12	5	47	13
cds1679	49	3	326	228	818	26
cds168	316	20	13	8	70	101
cds1680	4	1	72	54	125	9
cds1681	40	3	52	31	103	6
cds1682	145	2	39	47	142	74
cds1683	351	16	650	478	1395	349
cds1684	4	0	1	2	5	0
cds1685	40	5	22	28	63	0
cds1686	82	4	27	31	104	37
cds1687	772	96	1083	980	2270	815
cds1688	17	3	9	7	30	10
cds1689	675	54	112	148	191	379
cds169	71	12	4	10	22	70
cds1690	89	6	106	85	250	97
cds1691	178	15	77	71	224	50
cds1692	64	11	45	39	101	42
cds1693	174	15	225	245	428	257
cds1694	109	9	94	118	218	111
cds1695	32	4	36	26	65	54
cds1696	325	22	212	177	385	294
cds1697	77	14	41	33	108	53
cds1698	132	10	26	22	129	42
cds1699	71	3	14	14	42	24
cds17	42	0	8	13	38	17
cds170	26	1	2	7	16	1
cds1700	939	61	94	63	183	443
cds1701	2205	116	200	117	391	667
cds1702	39	7	105	102	373	26
cds1703	593	45	389	399	1175	229
cds1704	321	30	271	352	802	181
cds1705	5213	411	3686	3284	7524	1857
cds1706	660	44	382	194	457	699
cds1707	100	5	89	22	129	66
cds1708	114	13	2	2	2	21
cds1709	172	17	6	12	20	106
cds171	88	6	26	15	37	70
cds1710	50	8	247	308	638	63
cds1711	64	5	134	112	473	57
cds1712	422	28	498	509	1007	327
cds1713	879	39	27	28	56	216
cds1714	766	36	28	49	101	302
cds1715	311	17	19	27	72	44
cds1716	14	0	2	2	7	0
cds1717	68	8	10	6	40	26
cds1718	25	5	8	14	77	28
cds1719	298	18	78	81	253	29
cds172	47	1	5	7	15	17
cds1720	41	9	9	13	37	35
cds1721	116	13	57	80	115	63
cds1722	51	7	28	16	72	31
cds1723	153	13	285	231	613	128
cds1724	138	12	109	74	285	30
cds1725	584	51	583	461	1465	254
cds1726	332	22	335	203	901	271
cds1727	1248	120	2073	1463	4615	544
cds1728	3317	221	310	269	765	879
cds1729	165	17	32	27	43	115
