	L130_vitro_1	L130_vitro_2	L130_col_1	L130_col_2	L130_vitro_3	L130_col_3
cds1059	42	15	57	28	16	43
cds106	248	92	86	97	241	184
cds1060	1	1	19	1	1	7
cds1061	28	17	54	26	13	2
cds1062	11	15	37	81	35	50
cds1063	85	47	118	76	74	83
cds1064	83	61	37	7	59	27
cds1065	0	0	42	32	3	0
cds1066	21	11	59	18	6	22
cds1067	0	0	1	15	0	7
cds1068	3	2	30	0	0	6
cds1069	1	5	77	45	7	18
cds107	18	5	60	18	12	54
cds1070	4	1	30	28	2	31
cds1071	6	21	27	45	29	8
cds1072	0	0	2	0	1	0
cds1073	15	12	44	17	13	0
cds1074	45	15	36	11	22	25
cds1075	62	4	48	27	33	0
cds1076	25	9	14	42	17	49
cds1077	16	34	50	30	20	43
cds1078	16	3	29	13	14	33
cds1079	9	3	4	0	6	8
cds108	8	8	35	26	0	7
cds1080	2	0	5	0	1	4
cds1081	0	0	33	17	0	44
cds1082	5	13	27	10	5	5
cds1083	230	72	82	86	68	103
cds1084	83	29	64	57	46	89
cds1085	0	0	10	7	2	2
cds1086	2	7	12	0	4	0
cds1087	10	6	35	11	28	8
cds1088	7	28	28	21	23	20
cds1089	41	24	70	99	15	66
cds109	139	84	199	189	112	180
cds1090	4	10	61	26	9	0
cds1091	6	11	85	48	25	72
cds1092	90	25	147	118	92	215
cds1093	105	33	167	68	63	135
cds1094	35	19	61	28	14	62
cds1095	62	37	276	226	99	481
cds1096	3	0	21	26	7	19
cds1097	11	6	22	6	4	47
cds1098	16	9	79	94	12	24
cds1099	10	0	10	0	3	0
cds11	7	14	9	12	18	18
cds110	0	2	6	0	0	0
cds1100	47	36	48	48	44	11
cds1101	0	0	19	0	0	0
cds1102	0	2	27	0	0	0
cds1103	9	3	49	24	6	45
cds1104	28	10	132	29	4	90
cds1105	0	0	44	22	0	7
cds1106	28	32	79	46	26	42
cds1107	2	0	7	0	1	0
cds1108	14	9	31	41	6	21
cds1109	0	0	44	12	1	7
cds111	108	83	19	14	63	15
cds1110	5	0	16	7	0	4
cds1111	0	0	44	7	0	1
cds1112	5	10	71	4	1	7
cds1113	16	40	29	11	25	15
cds1114	3	2	56	6	4	14
cds1115	0	0	12	9	0	1
cds1116	14	12	12	2	0	0
cds1117	23	7	9	0	6	38
cds1118	0	0	7	0	2	3
cds1119	40	10	11	5	10	16
cds112	54	20	19	0	19	12
cds1120	9	0	23	0	0	0
cds1121	22	18	35	7	10	6
cds1122	0	0	22	14	7	0
cds1123	0	0	2	0	0	0
cds1124	9	2	22	17	10	44
cds1125	50	41	62	82	35	37
cds1126	1	0	0	0	0	0
cds1127	0	0	2	0	2	0
cds1128	1805	729	569	218	1310	287
cds1129	500	262	64	33	398	64
cds113	16	12	43	41	4	64
cds1130	54	68	672	421	32	698
cds1131	11	2	11	0	2	8
cds1132	1	2	23	18	6	20
cds1133	0	0	49	3	5	9
cds1134	8	0	1	0	1	0
cds1135	9	16	64	44	24	11
cds1136	138	121	105	119	94	79
cds1137	23	19	154	88	13	113
cds1138	0	3	25	0	1	24
cds1139	2	4	27	22	4	29
cds114	3	0	72	56	8	0
cds1140	2	7	122	40	4	74
cds1141	113	59	156	140	42	121
cds1142	120	83	421	381	72	385
cds1143	102	83	22820	28476	108	18581
cds1144	14	3	3	0	5	4
cds1145	34	31	65	110	47	235
cds1146	14	19	33	30	15	8
cds1147	30	29	76	28	16	40
cds1148	14	12	78	15	6	18
cds1149	5	1	81	30	16	1
cds115	9	0	102	13	4	7
cds1150	0	2	235	132	14	212
cds1151	34	33	129	41	59	68
cds1152	550	408	407	224	434	318
cds1153	7	10	34	12	17	19
cds1154	66	39	46	31	43	51
cds1155	47	17	42	40	18	46
cds1156	18	6	44	9	11	21
cds1157	74	72	214	267	48	491
cds1158	2	4	40	23	11	21
cds1159	5	3	42	27	8	8
cds116	29	10	23	17	15	17
cds1160	7	15	92	28	13	40
cds1161	27	21	70	45	9	55
cds1162	72	20	94	30	14	17
cds1163	9	4	27	38	7	0
cds1164	7	3	47	18	7	8
cds1165	64	35	94	55	24	76
cds1166	3	2	119	104	3	8
cds1167	72	34	47	12	24	29
cds1168	257	86	59	17	30	14
cds1169	171	58	15	0	24	9
cds117	2	8	33	28	0	0
cds1170	55	22	0	0	8	0
cds1171	82	35	53	9	20	0
cds1172	98	29	17	0	19	0
cds1173	0	1	28	0	1	0
cds1174	109	13	65	0	44	0
cds1175	403	71	25	9	47	6
cds1176	173	130	107	44	99	107
cds1177	156	31	38	20	33	11
cds1178	31	10	22	9	5	2
cds1179	5	0	11	4	6	6
cds118	0	0	8	0	0	0
cds1180	12	7	27	0	17	1
cds1181	232	166	252	227	102	242
cds1182	69	29	82	37	58	37
cds1183	8	4	0	0	5	18
cds1184	4	8	53	43	22	50
cds1185	3	7	105	70	4	60
cds1186	6	0	22	0	1	4
cds1187	14	10	16	12	10	16
cds1188	140	101	86	70	126	151
cds1189	132	188	374	495	257	492
cds119	340	220	52	63	324	163
cds1190	43	44	150	169	39	189
cds1191	49	45	156	197	36	135
cds1192	36	27	80	48	9	49
cds1193	15	13	29	12	11	17
cds1194	18	24	40	13	18	35
cds1195	2	6	53	13	13	30
cds1196	37	14	95	104	11	48
cds1197	49	85	412	276	26	457
cds1198	33	16	104	31	7	38
cds1199	74	44	76	64	12	48
cds12	838	832	301	199	687	499
cds120	26	16	8	0	28	18
cds1200	65	9	24	34	13	91
cds1201	123	40	119	15	8	58
cds1202	11	5	31	6	15	8
cds1203	137	68	60	68	67	94
cds1204	15	10	25	24	9	0
cds1205	47	12	147	51	39	99
cds1206	59	19	22	38	28	31
cds1207	0	2	30	0	0	18
cds1208	159	203	55	15	598	70
cds1209	1981	2095	624	533	2439	707
cds121	204	273	179	90	313	96
cds1210	1636	2476	411	282	3852	478
cds1211	994	958	420	286	1158	513
cds1212	12	4	71	58	11	20
cds1213	18	7	15	17	12	10
cds1214	12	12	28	33	9	18
cds1215	7	9	6	0	1	0
cds1216	42	28	102	66	45	78
cds1217	50	22	86	39	34	136
cds1218	254	133	279	189	223	203
cds1219	86	49	78	116	68	280
cds122	523	747	113	101	876	232
cds1220	0	1	11	21	6	0
cds1221	569	484	613	517	410	1039
cds1222	29	21	22	0	49	31
cds1223	293	208	279	126	182	323
cds1224	60	90	84	99	121	85
cds1225	257	117	636	468	121	744
cds1226	36	5	23	16	21	38
cds1227	300	254	189	151	322	185
cds1228	657	901	594	315	853	429
cds1229	202	144	369	268	185	347
cds123	98	75	60	54	83	29
cds1230	232	236	186	124	242	193
cds1231	98	54	138	82	125	146
cds1232	1912	1060	1253	875	1587	1245
cds1233	423	295	41	98	378	56
cds1234	623	599	124	154	527	255
cds1235	52	65	63	78	46	17
cds1236	163	122	191	173	150	206
cds1237	220	315	13	0	410	12
cds1238	1254	795	107	70	1381	372
cds1239	19	56	46	0	69	8
cds124	1602	1423	686	775	1545	1016
cds1240	0	0	0	0	0	0
cds1241	0	0	17	0	0	7
cds1242	0	0	3	0	0	2
cds1243	6	42	9	34	31	12
cds1244	57	62	233	297	95	203
cds1245	399	331	179	79	426	218
cds1246	65	22	62	17	21	63
cds1247	223	263	1380	1080	294	1783
cds1248	58	45	171	75	71	288
cds1249	107	82	220	181	52	547
cds125	13	1	191	167	2	60
cds1250	3093	1879	3861	2591	1573	6489
cds1251	13	19	28	27	54	23
cds1252	108	48	144	76	130	148
cds1253	1	0	20	8	13	15
cds1254	39	62	40	9	62	36
cds1255	116	86	35	44	153	95
cds1256	175	133	20	28	255	62
cds1257	183	72	86	41	158	83
cds1258	19	7	57	68	23	143
cds1259	32	18	312	197	8	311
cds126	3	3	1316	1292	6	771
cds1260	6	7	10	13	1	28
cds1261	1177	1168	653	381	1063	623
cds1262	196	134	113	90	193	64
cds1263	127	144	69	32	195	41
cds1264	959	549	1106	953	325	988
cds1265	45	18	35	4	23	33
cds1266	228	163	572	423	246	723
cds1267	30	54	482	388	88	725
cds1268	264	258	701	549	220	1073
cds1269	42	24	46	82	97	102
cds127	35	26	48	34	19	31
cds1270	102	32	171	97	54	133
cds1271	26	9	28	8	10	21
cds1272	4	0	12	0	0	26
cds1273	0	5	70	37	7	64
cds1274	5	0	35	47	4	0
cds1275	26	12	4	3	13	0
cds1276	48	12	8	7	8	13
cds1277	3	2	11	14	6	46
cds1278	158	80	80	53	67	116
cds1279	599	198	233	225	177	644
cds128	527	266	1958	1723	531	1910
cds1280	347	345	264	250	363	315
cds1281	4	4	0	0	6	3
cds1282	2401	2279	3712	2471	1603	2509
cds1283	206	156	39	49	251	87
cds1284	465	516	110	132	680	122
cds1285	136	69	17	15	125	55
cds1286	203	189	103	95	321	87
cds1287	847	786	388	485	1304	614
cds1288	131	77	91	30	95	108
cds1289	511	299	1012	630	455	623
cds129	1824	189	160	111	154	26
cds1290	81	37	36	37	87	52
cds1291	47	32	44	27	67	40
cds1292	149	99	68	105	158	20
cds1293	288	320	147	53	510	92
cds1294	94	165	131	55	345	114
cds1295	278	139	6017	4137	149	2870
cds1296	245	147	545	886	233	408
cds1297	70	27	115	122	42	176
cds1298	408	235	308	282	509	445
cds1299	467	254	792	551	266	749
cds13	179	88	102	101	195	92
cds130	33	23	34	41	18	38
cds1300	46	40	51	46	40	37
cds1301	54	43	69	75	53	101
cds1302	1960	1722	674	667	1354	780
cds1303	13	6	22	18	10	3
cds1304	76	51	164	113	57	150
cds1305	2	2	18	19	2	20
cds1306	0	0	0	0	0	0
cds1307	1742	1012	2834	1904	801	1567
cds1308	245	193	498	291	161	592
cds1309	88	80	67	54	65	88
cds131	356	193	472	274	283	253
cds1310	18	5	19	10	32	0
cds1311	8	1	7	0	14	0
cds1312	14	5	6	5	13	46
cds1313	0	0	49	25	0	2
cds1314	63	35	135	49	41	110
cds1315	93	54	86	68	34	124
cds1316	36	7	33	56	11	27
cds1317	100	65	110	81	80	86
cds1318	86	80	100	105	47	122
cds1319	28	7	0	8	3	0
cds132	204	172	46	45	306	56
cds1320	82	44	91	67	26	105
cds1321	46	22	272	208	29	314
cds1322	69	28	247	265	23	118
cds1323	17	18	494	389	14	66
cds1324	3	2	314	460	6	58
cds1325	8	6	1007	2186	2	391
cds1326	0	0	269	374	0	139
cds1327	11	20	135	204	6	75
cds1328	10	25	261	226	18	117
cds1329	2343	246	128	75	184	42
cds133	18	1	19	12	8	12
cds1330	909	94	35	7	107	0
cds1331	1810	144	120	86	108	30
cds1332	395	38	90	27	50	13
cds1333	3107	844	157	170	761	63
cds1334	70	10	70	12	30	9
cds1335	1932	413	461	294	477	234
cds1336	28	9	36	11	8	0
cds1337	458	245	161	248	418	192
cds1338	893	767	28	19	1578	40
cds1339	4478	5234	310	304	9563	380
cds134	80	14	109	52	35	74
cds1340	10	8	19	21	10	24
cds1341	9	13	65	25	11	46
cds1342	5	9	22	0	14	1
cds1343	27	24	23	40	11	16
cds1344	66	15	11	1	38	41
cds1345	969	439	307	318	370	374
cds1346	0	0	20	0	1	0
cds1347	0	0	1	0	0	0
cds1348	0	0	2	0	0	0
cds1349	5	6	180	82	9	43
cds135	128	66	149	99	70	103
cds1350	0	0	6	0	0	0
cds1351	0	0	6	0	2	0
cds1352	0	0	4	0	0	0
cds1353	0	0	0	6	0	0
cds1354	8	5	27	5	7	3
cds1355	0	0	134	54	3	17
cds1356	53	34	287	247	53	212
cds1357	5	0	2	0	1	1
cds1358	12	2	20	15	11	29
cds1359	110	63	10	0	109	33
cds136	40	18	42	39	22	85
cds1360	2113	1248	201	105	1666	293
cds1361	0	5	10	0	1	0
cds1362	0	2	18	26	4	6
cds1363	0	0	29	0	3	11
cds1364	1	0	28	15	1	25
cds1365	3	1	17	0	0	0
cds1366	0	0	0	0	2	0
cds1367	0	0	16	14	1	0
cds1368	0	0	6	0	0	0
cds1369	0	0	12	9	0	0
cds137	166	85	139	88	71	116
cds1370	0	0	2	0	0	0
cds1371	0	0	0	0	0	0
cds1372	3	0	15	6	2	5
cds1373	0	0	23	38	3	0
cds1374	3	0	36	7	5	1
cds1375	9	3	0	0	12	1
cds1376	19	14	0	0	9	3
cds1377	0	0	0	0	0	0
cds1378	3	0	14	0	7	4
cds1379	0	0	55	0	1	0
cds138	352	257	412	329	298	459
cds1380	0	0	35	6	0	0
cds1381	0	0	65	45	3	0
cds1382	4	1	20	17	4	7
cds1383	3	1	9	6	0	0
cds1384	0	0	2	0	0	0
cds1385	1	5	14	0	10	2
cds1386	0	0	15	0	2	2
cds1387	0	0	79	15	0	2
cds1388	0	0	9	0	0	0
cds1389	0	0	5	11	0	0
cds139	9	1	14	4	0	11
cds1390	0	2	0	0	0	0
cds1391	0	3	16	7	0	0
cds1392	0	0	1	3	2	0
cds1393	0	0	11	25	0	0
cds1394	0	0	1	0	0	0
cds1395	0	0	0	0	0	0
cds1396	0	0	0	0	0	0
cds1397	167	74	130	87	106	169
cds1398	67	36	24	0	21	44
cds1399	49	7	0	29	4	30
cds14	223	188	203	318	151	218
cds140	1259	570	388	311	513	527
cds1400	6	0	7	0	0	0
cds1401	8	1	8	0	7	2
cds1402	0	4	0	3	0	2
cds1403	5	6	11	9	14	5
cds1404	4	0	18	4	3	0
cds1405	2	9	11	14	2	22
cds1406	12	10	26	5	3	1
cds1407	2	2	3	0	5	0
cds1408	4	11	23	9	12	18
cds1409	3	2	4	0	1	0
cds141	206	140	274	237	224	275
cds1410	9	0	13	0	1	6
cds1411	12	8	23	50	2	2
cds1412	0	0	12	0	0	0
cds1413	0	0	11	0	0	0
cds1414	0	0	0	13	0	0
cds1415	0	0	0	0	0	0
cds1416	0	0	0	0	0	0
cds1417	0	0	0	0	0	0
cds1418	28	25	24	6	9	52
cds1419	0	0	27	12	0	0
cds142	498	304	140	115	414	97
cds1420	3	0	45	11	5	27
cds1421	13	10	9	4	7	9
cds1422	79	28	37	18	64	13
cds1423	0	0	6	19	0	0
cds1424	142	194	89	51	196	120
cds1425	967	373	237	181	597	147
cds1426	161	98	115	78	143	141
cds1427	31	25	26	49	28	30
cds1428	83	50	110	98	59	199
cds1429	39	22	69	54	18	20
cds143	74	31	7	9	74	35
cds1430	45	34	29	93	34	40
cds1431	182	108	309	194	83	278
cds1432	13	11	0	0	5	5
cds1433	350	131	333	215	107	325
cds1434	4	0	49	15	3	13
cds1435	1	7	89	28	1	17
cds1436	330	255	271	159	292	315
cds1437	0	0	10	0	2	8
cds1438	110	51	155	42	52	97
cds1439	69	18	17	30	15	15
cds144	2	4	72	22	0	47
cds1440	102	25	54	25	44	66
cds1441	50	10	73	85	23	73
cds1442	18	6	71	0	26	14
cds1443	199	140	379	388	184	902
cds1444	765	664	937	1038	625	1600
cds1445	2	0	9	17	0	0
cds1446	41	40	113	8	37	31
cds1447	244	120	153	150	228	225
cds1448	175	114	187	219	101	164
cds1449	5	9	6	0	6	22
cds145	6	5	31	29	3	46
cds1450	37	25	52	22	19	21
cds1451	22	23	52	19	40	98
cds1452	0	0	4	0	0	0
cds1453	285	200	159	140	229	299
cds1454	2	0	19	10	0	11
cds1455	36	16	34	22	16	11
cds1456	6	20	85	41	13	78
cds1457	32	0	180	243	6	244
cds1458	3	4	12	17	10	58
cds1459	5	2	43	10	5	0
cds146	2643	3455	1008	706	4682	1426
cds1460	0	0	88	56	1	19
cds1461	0	0	8	0	0	0
cds1462	0	0	17	7	0	22
cds1463	16	12	38	40	2	87
cds1464	0	0	17	18	0	37
cds1465	10	0	31	16	7	28
cds1466	2	2	155	55	3	144
cds1467	73	33	10	0	29	0
cds1468	296	212	46	37	333	153
cds1469	28	15	8	23	21	33
cds147	264	241	254	163	471	203
cds1470	0	0	4	0	0	0
cds1471	43	20	88	67	66	67
cds1472	0	4	10	2	6	12
cds1473	23	15	60	37	10	33
cds1474	21	14	70	5	4	36
cds1475	0	3	0	14	0	10
cds1476	0	5	18	8	1	0
cds1477	24	11	16	0	21	8
cds1478	29	10	7	9	4	0
cds1479	4	9	21	4	2	9
cds148	785	575	196	188	956	1097
cds1480	0	0	43	0	2	10
cds1481	6	0	35	26	3	4
cds1482	9	3	37	78	4	55
cds1483	29	22	52	8	15	3
cds1484	69	16	222	106	44	76
cds1485	291	102	342	184	72	361
cds1486	435	158	692	301	209	859
cds1487	1941	634	569	461	597	886
cds1488	9	3	680	561	8	1820
cds1489	130	118	241	348	103	569
cds149	347	317	135	98	505	254
cds1490	106	98	133	133	134	66
cds1491	57	33	13	22	41	21
cds1492	220	229	251	227	275	229
cds1493	1261	296	4091	4994	417	4736
cds1494	385	243	681	582	209	636
cds1495	72	25	172	150	13	222
cds1496	4404	2288	9197	7414	3116	5836
cds1497	12	5	241	309	0	92
cds1498	16	19	132	178	3	123
cds1499	12	5	98	35	2	2
cds15	195	104	57	103	85	91
cds150	2	5	7	21	12	3
cds1500	71	52	47	38	49	65
cds1501	926	1711	524	253	1556	313
cds1502	403	385	85	36	346	363
cds1503	2	8	8	0	0	0
cds1504	6	0	8	21	5	0
cds1505	33	33	52	59	21	71
cds1506	0	0	16	0	12	0
cds1507	1755	1803	617	827	2863	1160
cds1508	696	477	7448	5750	535	7296
cds1509	75	60	129	66	77	82
cds151	39	23	20	38	37	37
cds1510	95	89	136	108	69	204
cds1511	39	15	35	10	19	66
cds1512	89	63	138	356	79	90
cds1513	36	49	651	330	43	578
cds1514	72	70	242	121	31	344
cds1515	10	15	215	192	8	229
cds1516	9	4	27	0	4	22
cds1517	69	27	96	66	83	89
cds1518	43	0	34	15	0	13
cds1519	36	12	88	33	24	87
cds152	1760	512	135	138	908	267
cds1520	137	60	51	10	61	63
cds1521	139	92	55	19	190	55
cds1522	164	133	83	58	131	59
cds1523	37	33	57	28	16	51
cds1524	5959	7067	921	1387	7133	1830
cds1525	66	48	13	9	30	29
cds1526	410	192	308	343	196	420
cds1527	395	404	390	335	427	277
cds1528	133	80	187	239	104	203
cds1529	374	226	351	281	385	248
cds153	1574	700	1145	658	941	835
cds1530	101	52	34	40	87	87
cds1531	43	11	27	12	24	25
cds1532	33	22	53	92	23	121
cds1533	0	0	44	0	2	7
cds1534	22	16	106	88	28	20
cds1535	0	0	34	0	3	15
cds1536	0	0	87	45	0	8
cds1537	0	1	127	245	0	26
cds1538	7	0	0	0	0	0
cds1539	142	147	237	215	79	323
cds154	512	405	366	313	605	341
cds1540	283	178	236	117	182	233
cds1541	102	49	192	35	40	131
cds1542	12	12	18	39	33	7
cds1543	35	19	53	38	20	11
cds1544	39	33	36	27	47	2
cds1545	17	13	13	0	6	9
cds1546	6	1	241	155	3	137
cds1547	6	3	97	34	1	67
cds1548	7	21	70	11	32	36
cds1549	194	168	117	63	300	117
cds155	427	315	672	890	292	2483
cds1550	17	6	56	0	19	87
cds1551	116	39	46	96	23	117
cds1552	81	87	343	423	170	679
cds1553	0	0	35	92	2	79
cds1554	65	34	60	55	31	48
cds1555	0	0	7	3	0	3
cds1556	5	17	54	0	13	3
cds1557	0	7	37	41	13	16
cds1558	8	5	36	11	11	41
cds1559	154	101	42	71	125	49
cds156	303	603	607	1136	756	465
cds1560	1228	1097	316	295	1790	452
cds1561	212	190	167	134	362	229
cds1562	5194	4000	419	533	8934	680
cds1563	19393	14332	1461	1153	25287	1986
cds1564	1864	1231	139	159	2615	257
cds1565	325	129	18	34	572	24
cds1566	1672	1158	1877	1738	2428	966
cds1567	6525	7413	590	658	12803	1342
cds1568	1190	1275	8	24	2339	75
cds1569	838	904	68	30	2716	88
cds157	29	2	3	0	6	0
cds1570	380	275	357	297	277	408
cds1571	28	16	19	9	29	9
cds1572	24	11	38	38	16	115
cds1573	69	31	91	108	36	159
cds1574	45	15	70	67	26	53
cds1575	109	63	84	192	85	54
cds1576	342	69	408	240	122	403
cds1577	803	810	326	375	1163	553
cds1578	11	4	845	849	23	2182
cds1579	355	344	98	68	270	158
cds158	3	0	61	85	0	43
cds1580	131	148	88	68	146	170
cds1581	17	11	36	8	81	48
cds1582	1465	2018	765	538	4687	998
cds1583	280	306	110	59	648	81
cds1584	239	196	74	51	402	214
cds1585	129	89	61	70	155	85
cds1586	25	39	12	16	81	14
cds1587	124	82	105	47	102	210
cds1588	298	111	512	668	257	2810
cds1589	356	128	124	125	127	168
cds159	7	4	34	39	2	29
cds1590	31	31	42	19	33	3
cds1591	12	2	40	0	5	3
cds1592	79	67	80	22	128	47
cds1593	39	20	178	141	17	261
cds1594	7	2	242	272	4	262
cds1595	13	4	362	321	6	657
cds1596	66	42	326	229	45	370
cds1597	150	129	65	75	90	123
cds1598	3	1	81	0	1	5
cds1599	0	1	52	13	0	29
cds16	249	565	574	518	540	773
cds160	6	1	31	44	0	11
cds1600	101	40	418	227	29	240
cds1601	0	0	30	0	0	0
cds1602	0	0	7	0	0	0
cds1603	0	0	21	16	0	0
cds1604	1	2	53	21	0	0
cds1605	0	0	32	13	4	4
cds1606	2	9	64	13	3	13
cds1607	22	2	64	35	12	15
cds1608	54	45	105	41	45	29
cds1609	4	7	7	11	6	1
cds161	131	41	502	632	51	175
cds1610	0	0	22	17	0	6
cds1611	6	0	26	0	2	3
cds1612	3	0	33	18	6	1
cds1613	54	47	98	39	35	42
cds1614	36	16	199	148	21	149
cds1615	19	7	27	36	16	44
cds1616	20	16	14	17	12	12
cds1617	0	0	21	0	0	0
cds1618	0	0	7	0	0	0
cds1619	3	0	0	0	2	0
cds162	29	2	17	25	15	1
cds1620	17	35	92	49	35	155
cds1621	2	7	0	0	1	8
cds1622	13	3	48	12	10	38
cds1623	9	11	119	26	30	28
cds1624	64	109	68	64	111	84
cds1625	19	27	114	68	13	89
cds1626	40	15	60	111	2	65
cds1627	44	22	101	56	18	103
cds1628	10	0	13	0	4	0
cds1629	6	9	19	10	6	40
cds163	12	8	45	46	13	18
cds1630	1	0	6	0	0	0
cds1631	0	7	0	13	10	34
cds1632	0	1	2	0	2	0
cds1633	9	9	36	17	8	8
cds1634	45	18	170	38	19	31
cds1635	38	19	46	28	15	8
cds1636	154	134	99	53	100	117
cds1637	7	4	56	15	8	12
cds1638	1	0	39	8	0	8
cds1639	44	35	119	113	12	76
cds164	21	29	60	63	18	37
cds1640	1	1	19	0	7	2
cds1641	0	0	0	0	0	0
cds1642	22	45	111	67	24	212
cds1643	0	0	9	7	0	2
cds1644	145	59	312	194	177	383
cds1645	0	2	7	5	1	3
cds1646	319	192	241	192	272	189
cds1647	41	27	33	36	41	32
cds1648	2	1	7	14	1	4
cds1649	43	37	64	51	43	32
cds165	4	0	4	21	0	7
cds1650	940	697	350	399	1134	638
cds1651	31	25	35	20	48	66
cds1652	75	51	162	184	57	103
cds1653	280	95	67	110	147	110
cds1654	98	103	182	156	214	350
cds1655	319	152	395	193	267	330
cds1656	635	461	107	158	916	258
cds1657	5	3	4	45	17	9
cds1658	1465	633	1658	1387	838	1479
cds1659	34	10	11	20	22	30
cds166	95	66	65	42	67	50
cds1660	83	82	90	68	72	52
cds1661	305	157	116	121	147	213
cds1662	138	75	110	88	111	99
cds1663	98	52	432	349	73	506
cds1664	35	28	139	132	17	326
cds1665	256	133	270	174	179	351
cds1666	169	114	283	204	256	319
cds1667	236	72	345	148	49	409
cds1668	589	517	805	634	443	942
cds1669	76	42	13	45	86	57
cds167	359	280	213	175	395	327
cds1670	48	23	15	18	25	12
cds1671	126	105	47	45	152	74
cds1672	7	5	35	5	6	25
cds1673	69	22	39	47	19	33
cds1674	197	138	202	134	141	84
cds1675	44	30	82	0	31	84
cds1676	102	41	90	31	62	108
cds1677	13	6	38	35	20	35
cds1678	608	430	238	108	417	237
cds1679	615	433	285	137	442	292
cds168	41	9	23	14	14	23
cds1680	24	2	42	36	12	23
cds1681	54	31	33	50	22	102
cds1682	115	97	123	80	89	108
cds1683	120	44	30	23	136	47
cds1684	377	201	294	241	216	386
cds1685	2	0	26	0	6	21
cds1686	1	1	6	0	2	11
cds1687	304	184	125	139	151	362
cds1688	986	753	424	405	967	676
cds1689	116	126	349	316	100	295
cds169	144	69	108	35	127	84
cds1690	16	12	47	33	18	20
cds1691	79	8	107	55	23	98
cds1692	68	56	101	88	48	146
cds1693	60	7	45	14	12	37
cds1694	2	2	44	56	0	130
cds1695	56	27	87	71	30	7
cds1696	27	13	80	108	9	44
cds1697	5	1	15	0	7	0
cds1698	1200	1113	550	389	1406	573
cds1699	96	65	85	42	45	46
cds17	611	563	723	662	798	830
cds170	207	219	42	74	314	60
cds1700	67	32	137	48	32	209
cds1701	7	0	10	11	4	34
cds1702	23	17	63	74	13	28
cds1703	30	9	57	54	16	12
cds1704	31	16	39	68	9	41
cds1705	307	147	591	831	98	597
cds1706	89	60	174	157	51	163
cds1707	23	8	115	29	28	87
cds1708	26	57	219	142	45	41
cds1709	12	14	103	12	11	51
cds171	6	16	8	9	7	31
cds1710	1459	1648	413	303	3597	520
cds1711	195	66	69	52	73	116
cds1712	0	0	18	4	1	0
cds1713	147	92	95	57	166	177
cds1714	51	45	20	0	49	16
cds1715	307	214	268	238	263	254
cds1716	277	194	131	127	181	114
cds1717	47	32	66	32	64	14
cds1718	652	461	567	371	412	406
cds1719	40	45	308	277	31	278
cds172	13	16	98	52	47	78
cds1720	4	9	33	42	19	23
cds1721	5	0	1	0	0	0
cds1722	2	0	26	0	0	0
cds1723	44	3	79	29	20	25
cds1724	19	7	40	0	11	28
cds1725	4061	2530	94	131	4447	305
cds1726	6331	4611	581	781	13137	1969
cds1727	435	335	286	326	357	641
cds1728	18	24	4081	2594	20	3910
cds1729	7	2	2243	4654	3	549
cds173	64	48	60	6	58	9
cds1730	24	11	97	38	17	42
cds1731	395	329	169	127	327	270
