	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds2455	9	42	47	11	10	83
cds2456	0	14	3	0	0	16
cds2457	0	46	52	3	0	62
cds2458	0	3	7	0	0	3
cds2459	3	42	56	16	0	49
cds246	0	11	9	0	7	13
cds2460	10	90	89	25	26	101
cds2461	13	133	106	33	13	211
cds2462	17	155	149	44	31	266
cds2463	0	8	2	0	9	6
cds2464	0	6	4	0	1	9
cds2465	5	42	29	0	2	111
cds2466	0	5	4	0	0	13
cds2467	12	86	101	16	17	145
cds2468	22	1251	990	75	36	1097
cds2469	12	29	24	0	0	37
cds247	0	7	7	5	0	14
cds2470	21	39	43	50	42	49
cds2471	0	22	32	0	0	34
cds2472	0	1	6	0	0	8
cds2473	0	3	4	11	3	0
cds2474	14	108	93	9	9	84
cds2475	4	11	6	10	0	2
cds2476	0	276	179	0	12	142
cds2477	0	115	171	0	19	200
cds2478	25	17	15	26	8	18
cds2479	7	57	64	6	14	89
cds248	3	48	43	20	5	58
cds2480	3	37	38	6	8	72
cds2481	15	71	62	0	27	115
cds2482	28	33	42	25	33	52
cds2483	4	36	42	13	0	67
cds2484	26	34	36	45	3	24
cds2485	2	3	6	0	0	9
cds2486	7	126	161	13	15	328
cds2487	8	2	6	15	0	6
cds2488	0	15	51	6	27	26
cds2489	10	82	85	30	46	139
cds249	0	51	51	27	0	106
cds2490	0	9	21	7	21	24
cds2491	4	46	32	0	6	40
cds2492	0	30	16	10	27	24
cds2493	8	46	33	0	8	51
cds2494	0	3	0	0	0	0
cds2495	0	22	12	12	22	37
cds2496	0	4	4	0	0	12
cds2497	0	31	35	6	0	37
cds2498	13	40	48	0	20	72
cds2499	4	10	12	22	8	12
cds25	0	3	0	0	0	0
cds250	0	13	34	0	5	33
cds2500	4	11	17	7	0	48
cds2501	0	15	8	0	0	10
cds2502	11	2	3	0	0	1
cds2503	2	11	4	4	0	9
cds2504	8	32	31	0	5	38
cds2505	6	48	69	6	11	92
cds2506	3	3	2	0	0	2
cds2507	6	13	18	28	22	20
cds2508	5	60	122	7	4	126
cds2509	4	40	47	12	1	64
cds251	0	23	12	5	14	19
cds2510	0	36	39	8	7	34
cds2511	0	12	9	0	0	5
cds2512	0	8	12	0	8	8
cds2513	0	4	10	11	0	15
cds2514	0	3	4	6	0	8
cds2515	0	0	4	0	0	4
cds2516	0	1	3	0	0	2
cds2517	4	19	9	0	0	17
cds2518	0	118	112	5	11	166
cds2519	0	30	23	1	26	46
cds252	0	4	0	0	0	0
cds2520	4	82	81	0	5	126
cds2521	5	29	28	5	12	30
cds2522	0	60	55	13	0	59
cds2523	0	111	100	0	0	173
cds2524	7	102	127	8	0	195
cds2525	0	21	14	4	0	26
cds2526	10	21	19	0	9	23
cds2527	0	18	18	9	7	32
cds2528	0	0	4	0	0	2
cds2529	0	20	31	7	0	14
cds253	0	2	10	33	5	18
cds2530	0	88	91	0	16	111
cds2531	6	12	14	13	4	39
cds2532	0	8	13	10	0	23
cds2533	0	48	29	9	0	62
cds2534	17	17	12	20	12	23
cds2535	1	15	9	17	3	7
cds2536	2	8	5	34	11	2
cds2537	8	12	9	0	13	4
cds2538	13	116	121	45	14	222
cds2539	0	0	9	12	0	6
cds254	34	319	337	28	31	563
cds2540	0	14	19	0	5	21
cds2541	35	5	5	71	31	8
cds2542	0	25	19	0	0	35
cds2543	0	0	6	0	0	9
cds2544	8	4	9	8	0	1
cds2545	8	13	8	12	0	12
cds2546	0	24	14	0	3	31
cds2547	7	62	101	9	13	122
cds2548	0	11	4	0	0	9
cds2549	5	40	30	0	0	72
cds255	41	183	191	80	49	277
cds2550	0	0	5	0	0	7
cds2551	0	3	0	0	0	4
cds2552	0	21	22	7	0	22
cds2553	0	27	15	8	0	32
cds2554	0	13	22	8	0	19
cds2555	9	18	19	9	0	43
cds2556	0	18	16	0	0	25
cds2557	16	191	201	18	23	279
cds2558	20	120	120	13	15	174
cds2559	22	135	107	17	21	168
cds256	21	107	81	53	13	104
cds2560	18	375	428	46	33	630
cds2561	17	261	260	77	34	540
cds2562	16	236	213	6	41	369
cds2563	40	362	375	84	27	486
cds2564	9	285	252	21	18	392
cds2565	35	1344	1277	60	56	2023
cds2566	88	1500	1241	136	39	1751
cds2567	0	78	33	18	0	84
cds2568	45	470	418	23	33	721
cds2569	62	433	379	77	59	542
cds257	33	152	137	88	47	244
cds2570	10	421	366	62	43	535
cds2571	289	2131	2054	375	174	3139
cds2572	377	1991	2096	709	464	3951
cds2573	2	41	29	6	9	63
cds2574	3	9	13	16	0	16
cds2575	0	1	2	0	0	2
cds2576	69	535	561	71	67	848
cds2577	48	1964	2020	170	81	2834
cds2578	83	2062	2043	133	157	2865
cds2579	14	114	129	45	0	151
cds258	31	100	78	46	18	167
cds2580	13	146	152	24	10	216
cds2581	25	234	226	38	30	321
cds2582	343	3643	3985	352	230	4674
cds2583	50	2086	1821	70	37	2500
cds2584	29	1828	1903	80	25	3046
cds2585	0	347	339	13	0	550
cds2586	27	1019	1035	95	49	1555
cds2587	0	271	249	22	31	419
cds2588	0	83	87	10	0	127
cds2589	51	720	623	105	47	933
cds259	90	64	54	111	78	85
cds2590	25	335	313	16	41	444
cds2591	47	149	89	88	59	229
cds2592	139	729	644	304	224	806
cds2593	23	243	215	29	38	335
cds2594	0	431	411	44	5	526
cds2595	4	63	35	27	13	54
cds2596	0	63	42	0	0	56
cds2597	0	50	27	24	9	53
cds2598	16	63	71	0	4	90
cds2599	0	3	23	0	8	20
cds26	0	1	2	0	0	8
cds260	54	1670	1650	76	105	2506
cds2600	2	132	85	36	54	128
cds2601	3	3	2	0	0	0
cds2602	0	3	4	1	7	13
cds2603	9	185	131	3	27	300
cds2604	4	162	143	20	18	212
cds2605	23	231	281	22	45	431
cds2606	29	61	47	52	20	54
cds2607	4	76	71	34	24	141
cds2608	8	173	133	0	0	174
cds2609	90	780	606	314	258	1083
cds261	71	1243	1330	134	123	2280
cds2610	136	312	334	318	141	504
cds2611	46	485	466	86	107	785
cds2612	8	46	54	13	4	86
cds2613	0	15	16	15	0	13
cds2614	4	29	37	0	0	53
cds2615	0	22	13	0	0	41
cds2616	22	99	121	49	51	215
cds2617	16	4	7	0	0	0
cds2618	0	70	40	0	2	44
cds2619	41	29	39	71	43	28
cds262	23	142	155	10	17	190
cds2620	6	100	127	0	9	143
cds2621	0	15	20	0	0	41
cds2622	6	162	157	45	11	358
cds2623	39	274	274	147	13	422
cds2624	70	404	369	76	105	545
cds2625	19	108	114	25	20	166
cds2626	1	87	40	16	0	53
cds2627	0	37	18	0	0	11
cds2628	0	19	37	14	13	35
cds2629	8	263	180	17	29	173
cds263	0	14	8	0	0	17
cds2630	2	31	21	8	0	27
cds2631	0	29	27	0	0	33
cds2632	4	52	36	0	0	28
cds2633	0	38	25	0	0	22
cds2634	0	7	7	9	11	19
cds2635	37	184	219	71	29	232
cds2636	0	27	22	0	0	48
cds2637	42	967	1036	55	56	1301
cds2638	12	851	722	87	37	1079
cds2639	21	190	180	26	28	306
cds264	0	2	0	0	0	3
cds2640	3	81	83	11	22	143
cds2641	2	28	52	16	15	60
cds2642	0	5	9	7	5	4
cds2643	5	6	2	5	0	8
cds2644	0	4	5	0	0	4
cds2645	0	7	6	0	0	1
cds2646	0	7	18	0	0	13
cds2647	5	4	1	0	6	12
cds2648	0	21	7	0	0	3
cds2649	0	2	6	0	0	3
cds265	0	26	28	0	0	57
cds2650	0	8	9	0	0	0
cds2651	0	16	19	50	8	23
cds2652	3	32	38	0	0	27
cds2653	8	36	31	0	0	48
cds2654	0	2	6	0	0	7
cds2655	1	29	38	0	0	51
cds2656	173	917	605	366	233	844
cds2657	7	105	94	6	11	122
cds2658	0	16	25	0	0	18
cds2659	3	89	56	19	7	98
cds266	16	166	212	25	19	261
cds2660	0	14	10	0	0	4
cds2661	7	80	61	21	8	115
cds2662	0	15	38	0	0	36
cds2663	7	37	28	16	8	76
cds2664	17	3679	4071	144	88	4901
cds2665	254	9871	10564	247	401	12766
cds2666	7	1017	1083	0	0	1531
cds2667	39	2483	2583	24	17	3816
cds2668	49	587	582	40	86	795
cds2669	7	6	10	0	0	5
cds267	4	37	48	0	3	94
cds2670	4	29	33	19	25	57
cds2671	7	16	18	7	0	12
cds2672	0	10	16	0	0	11
cds2673	17	31	11	10	0	18
cds2674	0	46	65	4	7	62
cds2675	10	62	61	24	0	79
cds2676	0	32	30	9	1	39
cds2677	4	22	17	0	4	35
cds2678	0	38	42	0	0	50
cds2679	10	53	55	0	22	97
cds268	33	341	334	58	23	505
cds2680	1	24	13	11	20	34
cds2681	0	5	11	13	12	7
cds2682	0	4	3	0	1	1
cds2683	0	3	2	0	0	9
cds2684	14	20	38	2	12	34
cds2685	0	31	20	0	8	48
cds2686	9	21	9	0	0	26
cds2687	2	17	17	0	6	41
cds2688	0	11	14	0	0	29
cds2689	0	13	12	0	0	14
cds269	2	314	316	39	31	507
cds2690	0	7	10	0	0	21
cds2691	0	0	4	0	0	2
cds2692	0	0	8	0	4	0
cds2693	3	42	21	25	13	52
cds2694	0	8	3	0	0	7
cds2695	0	10	11	0	0	12
cds2696	0	0	0	9	0	1
cds2697	0	25	25	5	7	23
cds2698	0	15	29	0	0	42
cds2699	0	0	1	0	0	0
cds27	16	33	36	39	3	63
cds270	33	454	449	45	31	672
cds2700	0	4	12	0	0	2
cds2701	0	5	5	0	0	4
cds2702	0	4	4	0	0	9
cds2703	0	20	15	0	6	17
cds2704	43	90	77	68	5	139
cds2705	0	5	4	0	6	11
cds2706	0	3	0	0	5	5
cds2707	0	4	6	14	0	10
cds2708	0	0	9	0	0	7
cds2709	0	17	7	0	12	11
cds271	9	116	98	83	19	146
cds2710	0	17	14	19	0	7
cds2711	0	6	3	5	0	4
cds2712	4	30	17	17	0	66
cds2713	50	562	804	25	99	1116
cds2714	0	12	5	0	9	23
cds2715	13	15	7	37	31	19
cds2716	0	17	3	0	9	5
cds2717	0	19	22	3	17	32
cds2718	0	354	280	5	13	407
cds2719	0	53	41	0	0	86
cds272	69	59	44	57	49	38
cds2720	32	767	714	21	29	1104
cds2721	4	170	197	9	9	300
cds2722	0	1	0	0	0	4
cds2723	0	9	12	0	5	13
cds2724	11	27	20	10	8	50
cds2725	17	285	345	28	37	666
cds2726	50	263	259	4	11	614
cds2727	3	197	202	49	41	385
cds2728	20	270	274	16	22	562
cds2729	5	241	264	31	29	420
cds273	3	205	186	18	15	400
cds2730	4	103	106	0	0	108
cds2731	0	64	58	14	5	89
cds2732	3	115	78	7	26	119
cds2733	17	146	147	16	15	212
cds2734	8	135	124	51	14	169
cds2735	8	47	49	15	16	64
cds2736	0	24	13	5	4	15
cds2737	0	4	0	0	0	1
cds2738	0	0	2	0	5	8
cds2739	3	14	16	36	11	20
cds274	0	8	27	0	0	13
cds2740	0	7	9	0	9	9
cds2741	13	33	18	5	0	37
cds2742	0	4	5	3	0	3
cds2743	0	4	6	5	8	11
cds2744	11	5	3	0	0	17
cds2745	8	5	9	0	0	9
cds2746	10	27	32	37	33	29
cds2747	0	44	33	30	0	45
cds2748	22	2	3	17	23	3
cds2749	5	13	11	32	8	9
cds275	7	19	22	11	0	38
cds2750	23	157	140	25	17	183
cds2751	1	15	22	0	22	24
cds2752	6	24	36	0	0	31
cds2753	0	5	7	2	0	9
cds2754	0	9	21	9	4	8
cds2755	14	476	497	1	19	763
cds2756	17	119	91	25	13	114
cds2757	5	9	14	0	6	39
cds2758	0	15	39	0	0	23
cds2759	10	24	5	0	5	23
cds276	13	124	115	0	22	148
cds2760	9	103	109	2	22	182
cds2761	0	21	22	0	2	30
cds2762	25	40	40	4	13	67
cds2763	0	18	42	0	0	46
cds2764	4	11	9	0	10	17
cds2765	2	41	20	16	10	62
cds2766	0	17	15	0	0	23
cds2767	0	20	7	3	0	33
cds2768	4	5	5	5	1	2
cds2769	0	1	0	22	0	1
cds277	7	43	20	19	0	65
cds2770	1	69	64	3	0	99
cds2771	0	2	8	0	0	10
cds2772	0	14	11	0	13	28
cds2773	0	5	2	0	0	1
cds2774	5	4	9	14	0	15
cds2775	0	0	3	0	0	0
cds2776	0	2	0	13	5	0
cds2777	0	15	18	4	0	19
cds2778	8	72	65	25	16	67
cds2779	8	3	15	0	6	12
cds278	15	125	124	43	48	258
cds2780	1	0	3	0	0	3
cds2781	0	54	50	0	0	77
cds2782	0	27	21	10	13	23
cds2783	0	4	11	0	0	13
cds2784	0	4	1	7	17	12
cds2785	281	17	2	475	309	11
cds2786	0	4	6	0	17	12
cds2787	0	16	12	0	6	18
cds2788	6	27	33	5	28	35
cds2789	5	19	16	12	0	52
cds279	27	267	197	36	29	279
cds2790	11	82	71	10	13	98
cds2791	6	5	1	5	7	3
cds2792	8	22	40	24	0	54
cds2793	0	14	8	0	0	8
cds2794	0	20	16	0	11	31
cds2795	0	7	10	3	0	7
cds2796	0	8	10	0	8	11
cds2797	11	73	92	30	9	186
cds2798	9	41	51	5	0	49
cds2799	2	1	0	0	8	4
cds28	0	32	22	26	0	34
cds280	6	97	98	22	10	186
cds2800	1	6	3	0	8	3
cds2801	4	87	77	24	35	106
cds2802	0	24	31	10	29	48
cds2803	0	12	15	19	12	12
cds2804	0	6	9	0	0	9
cds2805	8	92	109	0	9	206
cds2806	5	169	134	23	19	225
cds2807	0	26	23	0	0	40
cds2808	2	44	68	39	14	128
cds2809	0	4	0	0	0	0
cds281	12	191	166	8	6	327
cds2810	0	1	1	0	0	4
cds2811	0	1	2	0	0	4
cds2812	0	4	4	4	0	2
cds2813	0	27	26	0	1	32
cds2814	0	125	119	22	0	162
cds2815	11	20	17	52	22	14
cds2816	1	3	8	0	0	4
cds2817	10	10	4	20	10	2
cds2818	0	4	2	0	5	2
cds2819	12	2	15	22	14	16
cds282	5	57	83	12	7	98
cds2820	0	68	48	14	5	101
cds2821	3	14	23	9	0	38
cds2822	0	30	16	0	0	20
cds2823	0	11	11	0	0	12
cds2824	0	46	43	22	0	76
cds2825	4	7	4	39	9	2
cds2826	98	10	17	122	176	11
cds2827	6	12	11	17	5	13
cds2828	7	38	75	1	4	74
cds2829	1	6	5	13	20	11
cds283	0	9	25	0	0	30
cds2830	41	374	406	9	6	637
cds2831	0	0	0	0	0	5
cds2832	0	21	14	0	0	20
cds2833	1	38	12	6	4	47
cds2834	0	3	12	2	0	12
cds2835	10	47	47	53	6	61
cds2836	13	27	41	0	2	45
cds2837	0	2	1	11	5	7
cds2838	0	7	10	0	0	15
cds2839	13	6	22	0	17	12
cds284	26	74	99	23	8	156
cds2840	4	63	51	7	8	89
cds2841	19	19	30	7	5	38
cds2842	6	5	12	24	29	14
cds2843	8	5	0	55	54	4
cds2844	0	0	0	0	0	0
cds2845	0	6	1	6	0	2
cds2846	3	246	228	16	12	384
cds2847	0	4	4	8	0	3
cds2848	0	0	15	0	0	11
cds2849	1	2	4	3	0	17
cds285	16	128	134	9	3	211
cds2850	5	24	9	5	0	26
cds2851	0	0	0	0	0	2
cds2852	0	3	2	2	0	1
cds2853	16	97	49	20	0	74
cds2854	6	20	28	0	0	47
cds2855	3	4	1	11	0	4
cds2856	6	19	8	40	17	48
cds2857	0	0	4	7	0	3
cds2858	1	6	12	30	0	21
cds2859	0	1	3	0	13	0
cds286	6	39	37	19	0	64
cds2860	0	12	16	0	0	26
cds2861	0	36	34	0	0	42
cds2862	9	164	210	49	18	311
cds2863	0	0	3	0	0	6
cds2864	0	6	2	0	6	2
cds2865	0	16	23	1	0	44
cds2866	34	54	47	44	15	69
cds2867	6	12	28	18	3	49
cds2868	4	3	5	2	19	2
cds2869	12	11	12	49	12	13
cds287	36	402	383	121	43	640
cds2870	0	7	10	17	13	2
cds2871	22	6	9	32	4	17
cds2872	3	13	15	4	0	18
cds2873	3	12	20	0	10	33
cds2874	0	27	27	9	17	24
cds2875	22	58	92	53	31	134
cds2876	0	7	9	0	9	37
cds2877	0	1	3	0	0	7
cds2878	0	1	0	0	0	0
cds2879	5	1	4	0	13	10
cds288	15	426	331	37	41	520
cds2880	0	0	10	4	0	24
cds2881	29	5	17	80	14	37
cds2882	9	1	10	78	21	24
cds2883	5	1	7	2	24	15
cds2884	215	4	45	329	193	57
cds2885	43	1	27	90	57	25
cds2886	6	0	5	0	0	10
cds2887	0	8	12	7	11	27
cds2888	16	28	41	0	0	54
cds2889	5	25	42	18	3	100
cds289	0	52	44	0	2	58
cds2890	0	6	1	0	0	9
cds2891	0	27	18	16	6	45
cds2892	0	15	13	0	0	8
cds2893	0	1	10	11	0	35
cds2894	0	5	25	8	0	28
cds2895	0	7	17	15	0	28
cds2896	0	5	9	0	0	9
cds2897	0	5	2	0	0	2
cds2898	0	2	5	1	19	4
cds2899	26	19	26	25	28	56
cds29	0	2	1	0	13	10
cds290	0	226	191	32	14	322
cds2900	6	59	61	0	0	70
cds2901	0	12	18	9	0	30
cds2902	0	7	4	8	0	8
cds2903	0	16	34	3	0	29
cds2904	0	48	70	25	0	96
cds2905	0	39	31	0	0	26
cds2906	6	53	44	11	11	61
cds2907	7	48	45	12	14	42
cds2908	0	25	25	0	0	41
cds2909	27	140	131	32	12	223
cds291	35	370	314	12	15	458
cds2910	0	8	1	0	0	8
cds2911	51	95	115	52	13	165
cds2912	13	7	11	20	43	9
cds2913	0	5	2	0	0	0
cds2914	6	272	240	32	4	332
cds2915	20	137	156	57	35	297
cds2916	17	34	16	0	17	42
cds2917	20	171	115	78	34	147
cds2918	17	77	63	0	4	96
cds2919	16	175	97	38	15	158
cds292	34	673	839	36	62	1138
cds2920	0	57	40	12	12	50
cds2921	48	185	65	115	72	29
cds2922	43	30	30	86	85	37
cds2923	163	57	43	248	195	87
cds2924	18	280	257	28	32	449
cds2925	115	583	541	140	101	685
cds2926	4	40	44	7	0	66
cds2927	2	60	42	10	15	99
cds2928	60	741	913	189	205	1338
cds2929	117	1249	1481	89	96	2206
cds293	0	51	44	3	3	97
cds2930	100	1083	1039	172	162	1497
cds2931	52	502	458	26	37	670
cds2932	24	98	90	70	36	138
cds2933	37	197	240	66	17	388
cds2934	0	20	17	10	7	42
cds2935	22	227	271	11	4	411
cds2936	2	33	29	6	0	17
cds2937	55	1424	1414	255	217	2546
cds2938	55	433	455	129	51	722
cds2939	36	360	344	65	63	476
cds294	0	9	18	0	0	12
cds2940	0	148	159	55	10	267
cds2941	3	58	47	0	20	78
cds2942	8	163	129	21	16	233
cds2943	25	350	368	43	72	579
cds2944	15	92	55	16	35	159
cds2945	5	10	15	0	0	20
cds2946	14	184	233	46	8	331
cds2947	23	320	363	37	41	568
cds2948	24	344	346	24	27	598
cds2949	9	97	101	1	17	162
cds295	0	20	9	0	9	20
cds2950	26	704	680	91	72	1131
cds2951	3	99	99	49	24	136
cds2952	5	117	93	3	19	178
cds2953	36	285	216	31	22	385
cds2954	10	18	24	0	5	34
cds2955	0	77	85	13	20	166
cds2956	4	20	12	35	0	25
cds2957	33	1221	1203	101	78	1623
cds2958	0	29	27	4	0	38
cds2959	0	40	27	15	4	46
cds296	12	136	111	23	0	199
cds2960	6	137	134	17	0	209
cds2961	4	158	136	13	0	188
cds2962	8	43	43	12	14	69
cds2963	21	404	448	116	63	602
cds2964	0	122	139	10	12	142
cds2965	2	89	100	20	34	145
cds2966	12	274	287	68	44	425
cds2967	22	309	352	33	33	454
cds2968	5	186	159	19	5	288
cds2969	0	8	4	0	0	12
cds297	11	59	58	21	12	148
cds2970	0	17	26	7	0	28
cds2971	42	357	406	80	38	513
cds2972	63	517	438	144	67	800
cds2973	52	538	537	48	31	749
cds2974	0	234	226	14	13	366
cds2975	3	60	91	15	16	140
cds2976	33	509	590	73	61	835
cds2977	44	407	334	60	61	616
cds2978	6	155	157	6	16	241
cds2979	17	626	602	6	25	848
cds298	7	125	87	0	0	142
cds2980	6	80	78	8	0	142
cds2981	0	35	36	0	0	92
cds2982	4	106	183	7	9	235
cds2983	14	237	243	6	22	368
cds2984	30	571	542	63	25	896
cds2985	89	1009	1108	70	47	1437
cds2986	45	491	605	138	91	696
cds2987	6	167	94	14	0	141
cds2988	36	495	576	27	32	906
cds2989	37	923	878	25	73	1398
cds299	2	83	112	9	18	145
cds2990	15	320	319	43	14	464
cds2991	18	111	134	39	0	246
cds2992	71	659	658	117	155	987
cds2993	0	92	114	8	14	152
cds2994	29	364	377	14	15	454
cds2995	6	127	153	8	8	212
cds2996	15	209	196	42	15	392
cds2997	0	85	75	0	5	99
cds2998	1	31	25	0	6	34
cds2999	3	104	130	1	6	236
cds3	0	8	16	0	4	35
cds30	3	9	1	0	0	2
cds300	25	264	200	37	69	343
cds3000	9	276	290	18	19	511
cds3001	17	643	627	29	42	1055
cds3002	21	225	239	0	0	461
cds3003	12	741	761	48	72	1135
cds3004	21	333	293	16	12	524
cds3005	53	1741	1879	213	38	2689
cds3006	19	427	457	52	0	491
cds3007	0	49	48	0	6	81
cds3008	0	3	3	1	0	10
cds3009	0	4	7	0	0	8
cds301	23	255	269	12	32	353
cds3010	0	3	0	0	0	0
cds3011	0	2	4	0	0	7
cds3012	0	1	11	0	0	10
cds3013	0	7	3	9	11	8
cds3014	0	8	10	0	0	3
cds3015	0	3	0	0	0	4
cds3016	0	7	0	2	0	1
cds3017	0	12	7	0	24	4
cds3018	0	20	20	0	13	38
cds3019	12	116	108	26	0	204
cds302	0	182	156	13	0	248
cds3020	58	47	36	57	14	61
cds3021	3	165	164	10	2	226
cds3022	0	23	28	0	0	34
cds3023	0	156	218	11	17	250
cds3024	102	541	449	157	40	716
cds3025	21	463	460	80	40	772
cds3026	5	199	141	65	0	236
cds3027	14	176	123	36	6	206
cds3028	30	318	297	27	16	353
cds3029	118	743	845	98	109	1310
cds303	0	3	8	0	0	12
cds3030	0	46	44	5	0	58
cds3031	0	45	43	20	5	83
cds3032	16	176	158	23	22	300
cds3033	0	58	58	5	7	100
cds3034	8	31	42	10	2	62
cds3035	21	163	176	40	23	268
cds3036	0	105	99	3	13	125
cds3037	4	34	35	0	24	73
cds3038	35	805	785	166	102	1223
cds3039	12	177	166	44	30	291
cds304	0	22	28	0	0	42
cds3040	4	81	80	13	5	113
cds3041	4	56	86	0	15	115
cds3042	0	16	5	0	0	0
cds3043	197	227	223	420	367	340
cds3044	0	34	32	0	30	26
cds3045	132	1497	1428	281	240	2229
cds3046	0	2	7	0	0	0
cds3047	0	9	1	0	0	4
cds3048	0	4	5	0	0	5
cds3049	0	2	3	0	0	2
cds305	0	4	4	0	0	5
cds3050	0	0	7	0	4	9
cds3051	14	563	432	128	64	622
cds3052	47	375	425	70	68	610
cds3053	32	323	317	47	41	575
cds3054	0	31	12	12	11	41
cds3055	5	113	157	8	5	205
cds3056	5	142	161	33	29	213
cds3057	38	660	777	66	51	1171
cds3058	82	175	153	273	125	221
cds3059	8	8	11	0	0	6
cds306	4	47	60	12	0	143
cds3060	13	82	66	45	28	81
cds3061	98	1923	2051	339	174	3207
cds3062	23	380	335	60	48	596
cds3063	0	31	21	2	5	52
cds3064	4	23	30	0	2	48
cds3065	0	59	68	3	0	96
cds3066	19	437	410	94	47	572
cds3067	20	113	107	0	21	148
cds3068	10	58	93	19	38	43
cds3069	1	49	56	5	6	64
cds307	5	60	34	39	15	71
cds3070	54	41	32	186	76	49
cds3071	0	9	15	13	54	11
cds3072	24	41	21	94	70	24
cds3073	4	61	89	7	16	127
cds3074	9	96	127	22	6	178
cds3075	0	21	26	12	0	38
cds3076	10	115	125	11	14	181
cds3077	0	47	64	0	14	58
cds3078	4	46	56	42	6	117
cds3079	11	77	117	23	0	246
cds308	6	14	16	0	0	8
cds3080	28	281	372	84	85	500
cds3081	0	30	50	6	9	80
cds3082	15	10	17	19	15	21
cds3083	5	61	44	21	50	104
cds3084	0	16	28	5	0	42
cds3085	0	37	38	7	0	45
cds3086	26	132	145	19	13	165
cds3087	9	51	39	16	25	69
cds3088	0	28	30	29	0	50
cds3089	0	11	13	0	0	17
cds309	29	254	294	49	12	568
cds3090	0	2	1	0	0	8
cds3091	0	7	3	0	9	1
cds3092	0	9	5	0	0	10
cds3093	0	6	10	0	0	14
cds3094	0	9	8	13	0	17
cds3095	1	77	43	23	0	97
cds3096	0	37	27	4	0	43
cds3097	0	52	58	9	0	110
cds3098	0	76	92	0	3	118
cds3099	73	1636	1851	146	148	2389
cds31	0	52	32	0	16	75
cds310	10	121	162	13	25	264
cds3100	24	121	181	46	16	258
cds3101	0	8	2	0	7	2
cds3102	9	15	25	0	0	52
cds3103	34	65	76	19	43	117
cds3104	31	98	94	48	56	150
cds3105	49	105	167	63	67	168
cds3106	0	12	23	0	0	38
cds3107	0	52	32	0	5	69
cds3108	84	222	220	92	89	273
cds3109	4	90	85	31	0	142
cds311	14	33	34	6	6	52
cds3110	0	130	101	7	19	141
cds3111	0	58	34	0	9	33
cds3112	8	54	35	8	0	94
cds3113	4	398	382	24	17	617
cds3114	0	44	40	0	0	70
cds3115	0	57	56	29	11	133
cds3116	0	154	168	0	10	342
cds3117	16	173	127	10	3	298
cds3118	37	790	838	42	56	992
cds3119	34	2489	2572	64	80	3717
cds312	19	89	111	50	65	182
cds3120	30	282	317	0	28	519
cds3121	1	59	106	10	0	176
cds3122	5	84	100	13	0	162
cds3123	3	30	52	0	5	89
cds3124	2	325	332	24	0	490
cds3125	1	36	47	0	4	64
cds3126	37	494	514	79	79	684
cds3127	6	38	60	0	0	51
cds3128	46	739	841	130	30	1086
cds3129	3	106	84	0	5	135
cds313	5	44	43	0	7	96
cds3130	0	104	105	13	9	164
cds3131	19	419	409	48	0	526
cds3132	21	222	241	25	10	262
cds3133	61	2483	2324	112	50	3757
cds3134	11	845	729	25	37	1041
cds3135	16	833	741	29	35	1247
cds3136	5	545	515	11	18	847
cds3137	84	2401	2332	138	49	3768
cds3138	106	4920	4864	195	96	6322
cds3139	81	2947	2710	134	52	4430
cds314	11	20	17	0	0	20
cds3140	7	217	212	6	5	377
cds3141	0	126	119	0	6	165
cds3142	0	8	4	0	0	38
cds3143	0	2	0	10	0	4
cds3144	12	37	35	25	8	63
cds3145	20	293	316	36	40	548
cds3146	5	45	45	15	21	92
cds3147	12	126	100	51	22	198
cds3148	53	451	400	90	17	630
cds3149	1	0	4	0	0	4
cds315	4	4	4	0	0	12
cds3150	142	107	74	145	245	118
cds3151	0	109	118	13	0	156
cds3152	12	60	70	17	0	116
cds3153	20	240	217	22	7	317
cds3154	0	56	74	20	0	90
cds3155	6	254	291	28	22	422
cds3156	0	35	20	10	0	12
cds3157	1	133	134	12	13	334
cds3158	144	1576	2073	262	167	2910
cds3159	6	22	28	6	6	30
cds316	7	129	116	0	17	237
cds3160	0	69	58	0	0	147
cds3161	9	177	153	74	31	223
cds3162	2	54	63	13	0	84
cds3163	29	263	244	110	80	427
cds3164	0	16	9	0	5	28
cds3165	0	1	1	0	0	7
cds3166	0	1	2	2	0	3
cds3167	118	328	323	149	76	656
cds3168	0	3	5	0	0	4
cds3169	0	0	0	5	0	2
cds317	31	50	50	55	32	59
cds3170	4	0	0	0	2	2
cds3171	5	136	161	31	26	243
cds3172	6	49	40	4	0	81
cds3173	0	5	3	0	0	6
cds3174	0	58	45	13	0	91
cds3175	0	56	42	0	0	80
cds3176	0	33	27	0	0	41
cds3177	15	391	378	37	40	438
cds3178	8	28	30	0	16	28
cds3179	7	98	118	25	16	165
cds318	12	8	16	27	33	25
cds3180	21	456	485	54	76	656
cds3181	2	11	7	0	0	19
cds3182	39	1605	1491	115	90	2218
cds3183	5	52	64	6	10	70
cds3184	0	22	23	15	0	42
cds3185	2	24	48	5	1	70
cds3186	0	12	15	0	0	25
cds3187	6	134	138	0	0	241
cds3188	4	58	53	0	12	75
cds3189	0	15	11	8	0	44
cds319	0	53	48	0	7	76
cds3190	15	58	49	35	41	90
