	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1350	7	18	36	6	0	66
cds1351	0	147	101	6	8	190
cds1352	0	1	0	0	0	3
cds1353	1	2	1	0	8	6
cds1354	3	56	56	25	12	107
cds1355	16	97	169	33	6	209
cds1356	87	374	425	125	57	553
cds1357	7	34	34	9	34	41
cds1358	0	6	3	1	6	19
cds1359	58	92	130	165	98	192
cds136	0	29	43	0	14	63
cds1360	10	20	6	0	0	34
cds1361	0	25	31	24	0	28
cds1362	0	34	23	0	0	26
cds1363	0	17	2	6	0	14
cds1364	0	17	27	0	2	42
cds1365	15	9	18	23	16	12
cds1366	55	721	729	72	77	1273
cds1367	3	19	21	12	0	29
cds1368	12	68	95	0	7	157
cds1369	13	28	22	0	0	43
cds137	0	2	4	0	0	17
cds1370	0	2	3	0	0	10
cds1371	58	1037	1132	83	80	1588
cds1372	268	3237	3749	968	640	4733
cds1373	36	332	386	54	52	449
cds1374	863	2572	2299	1292	857	2967
cds1375	54	243	382	72	60	458
cds1376	0	10	10	4	0	15
cds1377	6	183	184	25	69	305
cds1378	3	65	67	1	13	164
cds1379	4	35	65	15	39	46
cds138	12	129	138	69	39	298
cds1380	0	6	10	0	0	23
cds1381	13	41	52	23	20	69
cds1382	25	390	415	73	46	597
cds1383	1	65	71	23	0	119
cds1384	16	152	130	6	13	207
cds1385	138	651	610	212	144	994
cds1386	0	24	36	11	14	80
cds1387	10	8	4	48	12	2
cds1388	16	40	34	40	55	116
cds1389	0	23	40	37	0	36
cds139	43	136	124	58	44	243
cds1390	0	14	7	0	0	25
cds1391	17	146	157	0	18	250
cds1392	35	326	287	89	39	559
cds1393	17	88	118	12	17	166
cds1394	157	670	736	184	190	1000
cds1395	24	410	432	68	13	747
cds1396	0	107	123	31	7	196
cds1397	34	790	813	53	69	1241
cds1398	0	1	4	0	0	18
cds1399	115	1061	1069	244	188	1633
cds14	4	78	67	15	17	73
cds140	4	119	91	33	48	213
cds1400	0	31	31	38	21	97
cds1401	14	52	81	48	16	90
cds1402	0	26	23	0	0	32
cds1403	182	26	114	72	98	228
cds1404	10	51	40	8	0	71
cds1405	0	17	33	16	13	48
cds1406	4	148	99	76	17	152
cds1407	13	145	125	41	43	295
cds1408	18	5	22	12	21	10
cds1409	94	2060	1862	171	118	2622
cds141	5	104	79	30	25	123
cds1410	48	225	271	0	29	438
