	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds1381	2	1	11	28	12	79
cds1382	0	1	80	56	1	265
cds1383	0	0	114	103	2	276
cds1384	0	3	122	153	0	538
cds1385	0	0	166	224	2	524
cds1386	0	0	39	40	0	57
cds1387	1	0	10	29	0	101
cds1388	36	31	64	10	74	107
cds1389	0	0	23	31	0	144
cds139	25	29	49	26	56	158
cds1390	2	8	77	32	24	146
cds1391	2	0	21	19	5	126
cds1392	2	15	49	9	22	128
cds1393	6	2	0	18	4	31
cds1394	0	0	0	25	1	20
cds1395	0	0	0	0	0	9
cds1396	0	0	0	0	0	0
cds1397	4	7	24	32	5	44
cds1398	2	0	0	6	0	17
cds1399	1	0	26	7	2	37
cds14	58	39	87	34	62	152
cds140	11	13	0	3	42	118
cds1400	1	0	95	5	1	38
cds1401	1	2	6	20	1	0
cds1402	0	0	0	0	3	9
cds1403	2	6	218	39	3	150
cds1404	3	0	2	23	2	89
cds1405	2	4	191	6	2	474
cds1406	4	11	48	13	46	46
cds1407	93	82	433	666	161	1095
cds1408	29	18	214	446	75	1408
cds1409	4	2	0	1	11	6
cds141	0	5	20	11	12	23
cds1410	5	6	0	17	18	12
cds1411	3	0	14	4	8	29
cds1412	0	0	0	0	2	17
cds1413	5	1	0	0	6	1
cds1414	22	17	7	1	37	74
cds1415	2	3	0	0	4	4
cds1416	1	0	0	0	0	8
cds1417	0	0	20	15	0	110
cds1418	0	0	14	52	0	133
cds1419	0	0	202	247	3	601
cds142	57	66	158	52	249	437
cds1420	4	2	471	914	37	926
cds1421	0	0	0	9	0	28
cds1422	1	0	0	11	5	59
cds1423	12	9	74	28	18	137
cds1424	1	0	15	0	0	11
cds1425	1	2	0	45	3	13
cds1426	0	1	29	0	2	15
cds1427	4	11	0	44	2	23
cds1428	0	3	12	8	6	7
cds1429	0	2	0	26	11	31
cds143	14	9	31	14	36	38
cds1430	14	12	39	9	15	61
cds1431	0	2	21	0	6	16
cds1432	13	4	15	21	10	12
cds1433	40	27	0	43	48	34
cds1434	14	19	25	18	22	78
cds1435	51	37	17	22	58	109
cds1436	4	2	21	0	9	19
cds1437	0	0	0	1	1	0
cds1438	5	0	32	4	8	44
cds1439	1	0	0	0	0	30
cds144	15	2	2	45	34	76
cds1440	0	2	0	28	4	45
