	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds2452	207	125	422	365	203	954
cds2453	2	2	168	170	7	285
cds2454	0	2	71	49	1	65
cds2455	0	1	57	0	1	37
cds2456	1	2	13	87	0	209
cds2457	0	0	5	6	2	1
cds2458	0	2	19	57	0	113
cds2459	5	5	29	40	17	103
cds246	12	13	381	350	15	487
cds2460	41	24	184	95	100	439
cds2461	76	77	134	107	243	329
cds2462	217	160	27	18	295	74
cds2463	3	0	17	0	8	46
cds2464	1	5	24	31	2	21
cds2465	48	44	119	42	57	182
cds2466	374	376	588	298	466	492
cds2467	85	138	300	191	342	1248
cds2468	42	46	177	162	141	540
cds2469	42	32	95	112	77	321
cds247	33	22	360	365	44	511
cds2470	97	57	260	119	93	391
cds2471	93	94	121	121	159	602
cds2472	163	161	3764	1804	409	6443
cds2473	625	545	1800	1045	925	3856
cds2474	62	57	312	109	142	401
cds2475	0	0	19	0	0	33
cds2476	0	0	26	10	0	21
cds2477	0	0	0	0	0	15
cds2478	0	0	16	0	0	7
cds2479	0	0	0	5	0	0
cds248	0	0	0	0	1	7
cds2480	2	3	52	30	15	98
cds2481	0	0	35	11	0	14
cds2482	0	0	15	12	1	28
cds2483	6	3	18	0	10	52
cds2484	8	15	119	27	19	64
cds2485	252	290	170	138	429	1052
cds2486	22	10	0	21	16	41
cds2487	10	18	62	56	31	77
cds2488	139	137	415	256	226	577
cds2489	45	47	51	49	123	167
cds249	0	1	77	39	8	189
cds2490	30	33	81	134	81	161
cds2491	7	16	24	28	20	58
cds2492	1	0	25	28	9	45
cds2493	6	3	44	23	3	150
cds2494	39	12	6	44	36	124
cds2495	0	3	0	0	0	0
cds2496	21	20	0	8	60	68
cds2497	21	15	68	5	27	40
cds2498	37	46	20	20	51	122
cds2499	1	0	0	0	8	27
cds25	1	1	21	10	6	14
cds250	1	0	24	24	5	89
cds2500	73	38	40	23	163	130
cds2501	72	89	42	20	157	86
cds2502	22	20	50	18	40	19
cds2503	43	25	23	16	69	100
cds2504	7	5	0	20	13	22
cds2505	1	5	0	10	9	1
cds2506	5	6	0	10	16	12
cds2507	260	227	649	508	418	1109
cds2508	38	62	4	93	89	190
cds2509	637	542	842	460	1230	1683
cds251	0	0	0	21	1	87
cds2510	0	0	0	8	0	18
cds2511	0	2	46	0	3	40
cds2512	1	4	2	9	12	10
cds2513	1	7	40	28	9	44
cds2514	0	0	16	0	1	23
cds2515	0	2	0	0	0	11
cds2516	0	3	0	25	12	132
cds2517	4	3	30	0	9	44
cds2518	25	29	4	24	38	105
cds2519	22	30	83	31	53	92
cds252	3	5	36	15	4	17
cds2520	1497	1174	394	229	2447	1122
cds2521	1031	880	223	104	1727	812
cds2522	375	294	349	83	706	303
cds2523	3378	2912	1713	970	3839	2649
cds2524	1469	1280	234	56	1507	260
cds2525	1382	1150	52	62	1797	583
cds2526	2689	2251	817	225	3896	1736
cds2527	841	582	446	234	1309	1454
cds2528	0	0	85	36	6	88
cds2529	5	6	33	41	13	77
cds253	4	6	127	76	13	195
cds2530	172	180	100	95	484	378
cds2531	1357	1120	434	425	1555	1774
cds2532	90	109	77	45	124	116
cds2533	14	101	535	436	220	1589
cds2534	0	0	0	3	2	6
cds2535	342	300	651	374	678	767
cds2536	31	86	558	466	174	1089
cds2537	51	28	517	306	97	818
cds2538	13	6	195	188	34	437
cds2539	0	2	9415	18383	15	4355
cds254	1	0	32	74	2	120
cds2540	1	0	119	65	6	131
cds2541	14	57	687	858	68	927
cds2542	0	0	49	261	1	88
cds2543	72	87	114	39	206	293
cds2544	48	37	223	119	109	353
cds2545	0	0	3	245	0	1037
cds2546	2	1	239	1035	3	5235
cds2547	779	770	321	117	1820	731
cds2548	690	577	262	70	1507	501
cds2549	856	865	85	44	1761	510
cds255	2	4	332	527	10	1567
cds2550	374	319	111	85	817	667
cds2551	22	20	71	97	99	225
cds2552	2	2	64	24	11	74
cds2553	5	7	0	7	41	27
cds2554	0	6	2	47	7	71
cds2555	6	5	40	113	19	284
cds2556	49	18	200	123	160	549
cds2557	161	42	236	34	374	61
cds2558	6	0	0	0	36	19
cds2559	15	13	39	3	29	3
cds256	5	2	99	56	2	170
cds2560	22	11	65	7	37	5
cds2561	11	4	118	17	27	15
cds2562	10	5	49	0	15	11
cds2563	3	3	0	0	10	11
cds2564	2	0	0	6	2	8
cds2565	1	1	25	10	1	28
cds2566	283	252	335	177	389	907
cds2567	14	25	24	17	34	58
cds2568	8	19	43	140	45	188
cds2569	3	4	2	8	3	18
cds257	2	6	60	32	10	46
cds2570	6	8	34	23	28	88
cds2571	39	56	423	381	72	1736
cds2572	68	36	84	4	209	50
cds2573	0	0	0	0	1	5
cds2574	7	5	23	13	26	60
cds2575	3	0	32	0	5	10
cds2576	10	13	0	14	26	30
cds2577	17	29	58	20	54	135
cds2578	9	17	391	60	65	124
cds2579	0	1	33	6	7	12
cds258	1	0	51	13	3	55
cds2580	24	38	110	163	177	463
cds2581	396	325	206	102	691	291
cds2582	9	11	0	8	22	19
cds2583	4	2	27	12	6	35
cds2584	1	1	49	16	15	25
cds2585	4	4	154	35	11	116
cds2586	19	12	83	71	37	272
cds2587	4	7	126	32	26	149
cds2588	0	0	0	12	0	22
cds2589	4	0	34	3	8	11
cds259	1	1	90	7	1	87
cds2590	0	1	35	14	9	48
cds2591	4	3	0	10	6	61
cds2592	28	51	61	52	127	230
cds2593	21	24	174	246	57	456
cds2594	220	170	264	128	401	513
cds2595	97	95	109	116	132	254
cds2596	68	50	125	71	97	178
cds2597	47	54	114	23	73	286
cds2598	13	15	148	113	8	271
cds2599	0	0	11	6	0	15
cds26	0	2	0	0	11	28
cds260	4	0	187	93	9	302
cds2600	0	3	0	0	3	53
cds2601	10	2	40	71	11	115
cds2602	0	0	0	6	0	0
cds2603	3	1	142	62	9	95
cds2604	1	5	118	93	8	103
cds2605	0	0	22	7	1	13
cds2606	0	0	0	9	0	21
cds2607	2	0	13	24	4	72
cds2608	12	21	259	86	39	170
cds2609	36	14	96	17	64	101
cds261	4	9	289	193	21	315
cds2610	1837	1514	2492	1105	3678	2651
cds2611	37	38	228	305	99	1088
cds2612	77	104	200	204	145	441
cds2613	15	17	52	28	16	137
cds2614	739	546	272	147	1297	695
cds2615	1024	919	501	183	1968	1209
cds2616	94	77	120	74	180	229
cds2617	0	3	28	29	6	2
cds2618	1	6	17	84	4	368
cds2619	16	14	48	49	34	180
cds262	5	2	113	117	5	225
cds2620	389	450	1596	576	521	1177
cds2621	59	56	267	82	163	233
cds2622	10	15	0	3	42	30
cds2623	1040	870	1380	566	1981	2292
cds2624	162	153	288	218	303	933
cds2625	118	132	172	146	224	549
cds2626	8	6	40	18	16	51
cds2627	43	34	197	111	123	153
cds2628	14	14	66	89	24	268
cds2629	4	6	43	21	14	138
cds263	0	4	22	48	15	50
cds2630	42	121	670	573	208	1463
cds2631	19	15	34	20	27	85
cds2632	3535	3181	1409	989	4229	6112
cds2633	306	244	4	58	501	191
cds2634	1	7	68	42	11	134
cds2635	0	0	0	0	0	4
cds2636	54	69	592	102	79	512
cds2637	1	2	0	9	1	15
cds2638	22	30	85	34	56	66
cds2639	38	90	290	57	78	369
cds264	7	7	72	87	17	307
cds2640	1	0	23	6	1	36
cds2641	0	0	0	0	2	5
cds2642	83	82	127	115	184	551
cds2643	98	84	371	227	242	792
cds2644	49	60	87	27	135	114
cds2645	3	0	49	12	13	95
cds2646	20	18	105	80	20	407
cds2647	217	166	41	9	546	75
cds2648	5	8	70	5	18	56
cds2649	3	2	23	5	3	74
cds265	154	125	41	106	217	233
cds2650	2	2	18	22	4	54
cds2651	1	0	0	5	7	34
cds2652	1	4	44	1	5	46
cds2653	50	61	101	62	141	275
cds2654	0	0	0	4	0	19
cds2655	34	49	417	460	103	1612
cds2656	75	62	172	4	201	111
cds2657	13	5	33	11	40	98
cds2658	8	6	0	0	10	24
cds2659	127	98	245	26	241	354
cds266	0	0	0	7	3	1
cds2660	582	471	1354	235	941	1236
cds2661	117	112	76	18	301	70
cds2662	13	3	66	19	40	53
cds2663	36	58	82	48	135	173
cds2664	0	1	33	14	3	21
cds2665	15	12	5	14	16	103
cds2666	2	4	0	45	15	48
cds2667	15	6	99	16	46	194
cds2668	2	4	63	10	25	87
cds2669	33	19	222	279	79	925
cds267	1	4	32	18	25	86
cds2670	12	18	210	181	30	886
cds2671	11	18	370	351	42	1379
cds2672	6	0	20	2	5	110
cds2673	6	5	1616	415	26	3846
cds2674	1	6	1552	239	27	4119
cds2675	111	117	1389	329	263	2531
cds2676	557	456	153	27	826	164
cds2677	23	38	69	41	59	203
cds2678	27	27	355	321	36	549
cds2679	9	8	125	81	27	310
cds268	0	0	0	13	0	21
cds2680	0	0	0	0	3	21
cds2681	2	2	0	4	11	24
cds2682	3	8	116	187	12	256
cds2683	35	40	0	0	86	48
cds2684	1	0	0	0	5	54
cds2685	90	78	152	53	163	481
cds2686	1452	1099	513	639	1472	1249
cds2687	111	119	728	304	264	1740
cds2688	29	30	195	110	118	564
cds2689	118	113	124	186	234	574
cds269	0	6	23	66	9	165
cds2690	30	30	14	41	76	98
cds2691	0	0	0	0	0	26
cds2692	31	63	189	134	149	489
cds2693	10	7	0	20	15	109
cds2694	1	5	28	15	23	38
cds2695	16	8	76	44	28	187
cds2696	4	4	31	0	17	38
cds2697	53	56	301	119	96	216
cds2698	421	365	330	120	728	341
cds2699	95	67	124	26	349	138
cds27	47	76	77	135	161	607
cds270	1	0	46	82	1	243
cds2700	1	0	0	19	1	42
cds2701	2	1	39	29	6	39
cds2702	601	583	625	269	826	1270
cds2703	144	130	214	255	357	786
cds2704	46	32	202	153	81	378
cds2705	9	6	13	17	25	75
cds2706	123	125	225	175	197	554
cds2707	6	1	25	7	20	43
cds2708	28	47	724	699	108	2799
cds2709	20	3	34	94	28	254
cds271	2	5	268	278	6	865
cds2710	15	17	40	1	18	17
cds2711	22	20	45	27	34	123
cds2712	0	0	1	0	0	7
cds2713	0	0	0	4	2	29
cds2714	48	29	89	56	102	128
cds2715	56	63	842	327	156	1488
cds2716	16	12	23	20	22	105
cds2717	1345	1164	406	241	1500	1152
cds2718	852	703	101	119	1142	520
cds2719	14	1	122	139	13	342
cds272	1	2	36	68	4	451
cds2720	17	18	63	45	42	100
cds2721	6	11	0	10	26	35
cds2722	25	12	15	46	42	69
cds2723	5	0	45	6	6	56
cds2724	0	0	21	0	1	3
cds2725	6	5	100	34	12	98
cds2726	78	84	116	203	141	846
cds2727	6	9	0	19	8	12
cds2728	9	5	0	1	4	44
cds2729	70	109	1371	1643	269	5519
cds273	0	0	121	357	3	673
cds2730	7	8	15	9	10	59
cds2731	0	0	0	0	0	0
cds2732	13	18	90	22	43	38
cds2733	6	1	25	0	7	26
cds2734	0	1	73	0	2	30
cds2735	0	0	18	7	2	126
cds2736	0	0	143	53	0	167
cds2737	6	13	51	22	46	125
cds2738	9	7	0	7	43	41
cds2739	52	36	25	66	98	75
cds274	0	0	155	31	0	132
cds2740	133	144	97	28	263	102
cds2741	58	56	61	62	70	196
cds2742	40	33	22	9	69	71
cds2743	2	5	39	7	11	31
cds2744	1194	1026	780	460	1646	1069
cds2745	20	34	115	42	63	189
cds2746	0	0	0	0	6	0
cds2747	3	5	22	0	11	103
cds2748	18	19	27	29	34	171
cds2749	2	4	0	17	8	39
cds275	0	0	24	25	3	42
cds2750	129	129	300	188	306	490
cds2751	17	9	97	97	32	252
cds2752	22	12	45	3	25	97
cds2753	55	48	204	163	139	381
cds2754	22	16	102	107	21	105
cds2755	19	6	51	56	28	110
cds2756	0	3	0	5	12	14
cds2757	1	2	40	4	2	42
cds2758	4	1	104	40	11	109
cds2759	2	6	220	72	4	344
cds276	85	69	86	5	146	165
cds2760	9	4	979	406	14	1496
cds2761	5	5	45	86	18	204
cds2762	5	5	0	28	11	87
cds2763	0	2	31	13	4	72
cds2764	5	13	0	12	25	90
cds2765	15	11	91	42	33	130
cds2766	0	3	339	439	1	526
cds2767	1	1	87	61	5	77
cds2768	0	0	13	0	0	46
cds2769	7	12	0	0	15	0
cds277	30	28	0	22	95	88
cds2770	8	5	28	4	12	92
cds2771	3	3	23	53	9	152
cds2772	15	28	6	29	36	57
cds2773	19	10	124	72	37	155
cds2774	2	6	40	16	12	78
cds2775	2	2	53	25	3	66
cds2776	0	0	31	17	2	30
cds2777	0	0	0	0	1	39
cds2778	1	2	32	4	0	56
cds2779	0	0	43	0	2	41
cds278	21	15	44	4	50	68
cds2780	5	0	70	15	3	64
cds2781	0	0	0	6	0	0
cds2782	15	18	29	4	27	33
cds2783	21	21	19	17	40	76
cds2784	1	2	0	10	4	8
cds2785	20	8	6	0	46	88
cds2786	6	5	0	16	19	33
cds2787	58	45	262	62	160	201
cds2788	29	35	295	161	76	398
cds2789	0	0	0	0	0	12
cds279	2	5	24	19	11	15
cds2790	2	4	33	0	7	36
cds2791	60	51	19	41	106	72
cds2792	4	3	0	3	11	6
cds2793	0	0	0	0	3	0
cds2794	6	5	0	9	6	39
cds2795	28	16	17	10	55	76
cds2796	7	12	101	55	31	149
cds2797	7	13	39	27	42	57
cds2798	126	104	111	74	160	133
cds2799	42	34	438	410	47	878
cds28	0	0	20	0	1	28
cds280	39	33	63	49	73	219
cds2800	1	2	135	60	13	204
cds2801	25	17	86	109	34	255
cds2802	19	15	117	80	60	150
cds2803	68	40	0	4	72	29
cds2804	5	10	183	34	11	251
cds2805	9	10	7	19	23	5
cds2806	87	99	222	301	127	169
cds2807	86	70	344	293	139	312
cds2808	88	65	47	18	143	101
cds2809	9	16	0	0	18	12
cds281	183	175	7737	5499	750	12507
cds2810	10	12	64	102	32	328
cds2811	65	62	283	86	141	385
cds2812	36	24	116	81	78	498
cds2813	0	0	0	0	0	0
cds2814	0	1	0	12	4	31
cds2815	1	5	29	1	6	53
cds2816	6	12	27	41	26	89
cds2817	2	4	11	47	9	257
cds2818	706	658	1707	1642	1038	6214
cds2819	0	0	0	10	9	27
cds282	0	0	0	13	2	11
cds2820	16	21	247	258	92	1536
cds2821	48	46	231	114	115	505
cds2822	8	10	19	33	18	90
cds2823	7	22	192	80	58	215
cds2824	10	10	75	69	81	431
cds2825	387	311	705	538	523	1516
cds2826	173	161	427	164	423	465
cds2827	57	40	6	30	96	127
cds2828	21	28	0	7	35	138
cds2829	444	302	364	148	723	406
cds283	0	0	0	0	0	7
cds2830	255	252	278	72	401	302
cds2831	133	72	50	47	138	203
cds2832	0	0	0	5	5	51
cds2833	3	2	15	26	9	38
cds2834	6	10	12	20	34	15
cds2835	4	9	0	33	26	86
cds2836	1	0	0	13	1	24
cds2837	72	63	142	48	116	123
cds2838	26	39	33	22	65	75
cds2839	562	638	186	71	1020	693
cds284	9	10	62	71	38	248
cds2840	60	32	439	189	102	675
cds2841	0	0	0	13	7	52
cds2842	6	8	7	13	13	55
cds2843	2	5	33	10	12	22
cds2844	0	2	0	22	1	66
cds2845	35	20	147	126	66	319
cds2846	509	417	134	86	912	465
cds2847	47	41	30	48	103	69
cds2848	0	0	0	0	0	0
cds2849	3	19	2	21	16	65
cds285	138	77	132	147	151	351
cds2850	28	25	210	266	96	740
cds2851	13	6	76	20	19	100
cds2852	2	3	0	11	10	75
cds2853	33	50	368	293	82	965
cds2854	22	41	79	64	70	316
cds2855	13	8	70	50	19	45
cds2856	58	54	144	35	94	270
cds2857	9	6	15	0	28	22
cds2858	13	11	50	22	35	15
cds2859	10	7	656	968	27	3071
cds286	0	0	0	0	0	13
cds2860	2	20	362	542	43	1982
cds2861	11	13	78	19	21	195
cds2862	0	0	0	0	3	17
cds2863	6	9	38	86	22	64
cds2864	0	1	16	13	6	31
cds2865	0	1	0	3	0	0
cds2866	10	10	0	112	10	51
cds2867	43	79	290	107	87	354
cds2868	10	4	59	14	4	44
cds2869	3	6	40	31	24	161
cds287	0	0	0	0	0	6
cds2870	1	12	679	572	44	1348
cds2871	1	1	58	7	1	81
cds2872	2	23	40	92	11	236
cds2873	24	13	668	1075	25	1623
cds2874	21	18	125	160	35	233
cds2875	10	20	284	278	11	322
cds2876	6	2	84	83	12	299
cds2877	4	4	0	43	10	195
cds2878	49	34	459	1028	68	2013
cds2879	10	7	16	0	27	21
cds288	2	1	85	15	4	55
cds2880	306	243	751	151	648	817
cds2881	0	0	0	7	3	34
cds2882	0	3	0	11	1	17
cds2883	14	3	0	12	22	60
cds2884	18	23	26	60	43	121
cds2885	15	17	20	14	9	46
cds2886	33	19	94	36	56	254
cds2887	218	190	189	107	536	422
cds2888	2109	1744	1759	701	3562	2275
cds2889	0	0	271	261	5	334
cds289	263	199	72	163	454	248
cds2890	71	54	73	52	180	128
cds2891	27	37	54	17	83	90
cds2892	1	0	26	23	4	19
cds2893	51	33	20	16	123	65
cds2894	57	30	97	46	122	71
cds2895	25	23	291	406	19	517
cds2896	8	0	11	5	6	38
cds2897	0	1	23	23	4	38
cds2898	22	12	74	50	35	290
cds2899	3	1	16	51	6	127
cds29	143	183	393	164	339	663
cds290	286	224	79	456	497	491
cds2900	3	1	27	17	9	21
cds2901	0	2	0	9	3	10
cds2902	4	10	0	8	13	39
cds2903	6	2	354	53	8	158
cds2904	3	2	0	3	4	17
cds2905	0	0	0	0	3	2
cds2906	11	10	109	33	30	150
cds2907	229	182	516	223	436	1198
cds2908	207	168	71	58	329	492
cds2909	46	45	1	32	102	73
cds291	199	170	16	163	339	287
cds2910	314	330	147	134	751	680
cds2911	0	2	8	3	0	9
cds2912	16	28	364	542	58	681
cds2913	19	19	124	33	36	65
cds2914	41	88	1550	934	199	2206
cds2915	7	6	204	67	14	285
cds2916	4	5	183	129	13	203
cds2917	15	23	58	21	78	167
cds2918	38	27	236	370	62	953
cds2919	5	5	0	33	24	24
cds292	0	9	10	39	9	74
cds2920	0	0	0	17	1	11
cds2921	0	6	38	17	9	107
cds2922	2	2	23	11	4	6
cds2923	1	0	0	0	1	21
cds2924	55	42	37	79	91	201
cds2925	5	2	81	143	27	298
cds2926	1	4	3	10	6	54
cds2927	0	2	0	0	14	8
cds2928	0	5	0	1	18	11
cds2929	17	22	0	8	84	72
cds293	8	12	47	56	29	226
cds2930	12	11	71	43	32	70
cds2931	0	0	0	1	0	0
cds2932	0	0	21	10	2	34
cds2933	0	0	19	0	0	20
cds2934	0	0	0	0	0	0
cds2935	1	1	0	6	0	22
cds2936	1	0	0	4	5	8
cds2937	2696	2505	374	213	4796	1456
cds2938	0	0	53	12	0	61
cds2939	0	0	0	23	0	5
cds294	15	12	7	24	27	63
cds2940	0	0	0	19	1	43
cds2941	0	0	45	0	0	3
cds2942	7	13	145	96	53	272
cds2943	0	0	41	92	0	558
cds2944	6	6	18	5	10	44
cds2945	0	3	0	28	2	31
cds2946	0	0	0	13	2	33
cds2947	69	53	923	745	87	1336
cds2948	0	6	208	121	14	149
cds2949	14	24	420	230	43	624
cds295	4	5	97	61	8	130
cds2950	7	9	134	144	13	368
cds2951	4	0	31	17	3	16
cds2952	4	1	0	0	3	31
cds2953	0	0	0	2	4	12
cds2954	22	27	22	3	58	64
cds2955	27	26	24	1	64	20
cds2956	47	29	92	62	88	322
cds2957	0	0	0	19	1	14
cds2958	0	0	15	15	4	105
cds2959	5	13	28	22	22	88
cds296	44	20	60	44	66	115
cds2960	38	22	370	104	70	472
cds2961	2	4	26	23	7	59
cds2962	93	96	2937	1876	195	4332
cds2963	0	2	210	64	13	199
cds2964	0	0	54	25	0	199
cds2965	7	1	31	3	5	11
cds2966	12	12	0	21	23	22
cds2967	12	8	0	3	11	28
cds2968	35	22	27	55	44	37
cds2969	15	12	0	21	22	17
cds297	17	2	19	6	18	15
cds2970	66	87	88	68	127	148
cds2971	0	0	63	22	9	12
cds2972	0	7	42	37	11	56
cds2973	0	4	1	20	3	73
cds2974	46	77	682	324	191	850
cds2975	21	5	149	126	43	595
cds2976	5	1	0	18	3	95
cds2977	4	4	48	48	10	149
cds2978	270	218	944	1055	362	1626
cds2979	3	0	11	17	1	25
cds298	17	5	63	64	49	53
cds2980	19	32	36	42	55	281
cds2981	93	76	74	78	211	204
cds2982	141	119	209	161	293	410
cds2983	23	35	51	44	81	266
cds2984	7	3	28	5	10	100
cds2985	2	3	0	11	5	40
cds2986	0	0	0	7	0	12
cds2987	4	6	96	193	7	202
cds2988	3	3	0	7	1	71
cds2989	4	10	14	5	20	15
cds299	11	4	1	7	26	15
cds2990	39	28	537	220	85	513
cds2991	44	44	523	609	111	515
cds2992	8	10	75	80	23	133
cds2993	0	3	55	36	8	291
cds2994	0	0	0	18	1	30
cds2995	9	2	127	32	13	243
cds2996	6	11	14	69	29	297
cds2997	17	21	189	101	79	346
cds2998	25	47	396	126	100	396
cds2999	0	1	0	5	5	21
cds3	296	192	237	87	475	433
cds30	171	176	316	205	277	741
cds300	51	16	49	10	73	64
cds3000	1	0	0	0	0	5
cds3001	110	99	160	115	108	407
cds3002	32	25	127	79	65	329
cds3003	106	66	273	341	175	653
cds3004	1	0	0	0	3	3
cds3005	21	28	0	26	53	31
cds3006	74	54	23	18	88	63
cds3007	392	331	664	340	635	958
cds3008	707	727	795	356	1350	928
cds3009	428	295	2516	1878	652	2123
cds301	21	5	120	39	27	15
cds3010	163	122	258	104	196	307
cds3011	44	44	31	4	70	57
cds3012	53	78	95	35	86	125
cds3013	0	1	0	0	0	24
cds3014	7	6	43	5	22	59
cds3015	13	25	21	28	34	128
cds3016	1	0	68	32	5	81
cds3017	5	5	113	17	18	88
cds3018	0	6	0	8	7	44
cds3019	0	0	0	15	0	7
cds302	22	10	4	0	56	8
cds3020	4	9	0	3	13	27
cds3021	0	0	64	7	3	26
cds3022	14	23	129	169	38	236
cds3023	1	1	0	18	3	50
cds3024	2	2	24	1	3	0
cds3025	2	1	0	10	4	39
cds3026	0	1	0	9	1	20
cds3027	6	2	20	27	13	224
cds3028	0	1	0	15	0	137
cds3029	3	3	0	3	4	43
cds303	3	2	0	0	14	12
cds3030	1	1	0	1	2	39
cds3031	7	3	24	0	5	86
cds3032	21	7	85	51	23	171
cds3033	38	32	251	397	55	615
cds3034	60	81	631	433	175	1131
cds3035	144	119	530	361	212	552
cds3036	59	70	273	136	115	278
cds3037	54	55	170	69	177	253
cds3038	23	16	80	42	58	159
cds3039	1	0	31	1	1	24
cds304	2	3	38	18	8	44
cds3040	0	0	14	29	9	32
cds3041	19	10	147	126	70	322
cds3042	5	6	18	17	8	12
cds3043	26	20	32	5	56	52
cds3044	3	3	11	9	18	1
cds3045	1	3	0	17	11	30
cds3046	94	53	92	30	171	57
cds3047	40	18	25	6	43	114
cds3048	111	128	701	599	270	1916
cds3049	3	1	0	0	4	17
cds305	0	1	36	3	5	27
cds3050	10	9	414	416	31	802
cds3051	0	0	0	6	4	9
cds3052	0	0	0	5	2	6
cds3053	10	13	62	42	29	106
cds3054	0	1	0	0	0	11
cds3055	0	0	0	0	0	2
cds3056	0	0	0	0	0	0
cds3057	3	0	0	7	5	6
cds3058	0	0	0	0	0	7
cds3059	0	0	0	6	0	0
cds306	28	22	105	56	64	96
cds3060	0	0	0	0	1	0
cds3061	0	0	0	2	0	0
cds3062	0	0	0	0	0	17
cds3063	19	31	27	76	63	318
cds3064	0	1	0	6	6	11
cds3065	209	218	689	457	443	1619
cds3066	18	16	50	115	30	393
cds3067	1	12	11	22	15	6
cds3068	24	4	65	106	30	365
cds3069	16	11	124	130	28	193
cds307	13	19	328	109	47	217
cds3070	10	6	78	107	5	396
cds3071	3	5	11	73	13	243
cds3072	51	54	194	87	105	208
cds3073	12	9	0	32	12	61
cds3074	0	3	0	17	2	17
cds3075	10	3	66	11	15	75
cds3076	22	15	32	12	30	109
cds3077	48	40	59	9	72	157
cds3078	15	25	4	10	34	41
cds3079	54	50	394	145	95	320
cds308	15	17	64	16	49	58
cds3080	65	41	124	71	83	248
cds3081	28	10	62	38	46	210
cds3082	16	4	134	25	19	253
cds3083	7	5	54	85	17	117
cds3084	0	2	0	12	4	44
cds3085	6	0	150	717	6	288
cds3086	159	106	27	0	258	52
cds3087	0	0	0	4	2	23
cds3088	6	4	0	8	14	11
cds3089	7	11	9	18	16	49
cds309	1381	1181	2122	1512	1304	4026
cds3090	0	1	0	1	0	19
cds3091	10	11	0	17	30	30
cds3092	111	99	139	39	196	201
cds3093	0	0	30	8	0	0
cds3094	0	2	20	7	8	21
cds3095	1	0	0	0	3	0
cds3096	3	2	0	0	14	48
cds3097	5	3	18	17	5	60
cds3098	10	13	76	115	30	245
cds3099	0	0	0	4	1	22
cds31	32	40	104	140	92	290
cds310	204	208	314	253	429	1173
cds3100	4	3	0	0	3	18
cds3101	481	438	202	126	1133	455
cds3102	4	6	32	0	8	2
cds3103	20	21	33	19	39	68
cds3104	67	32	32	32	98	94
cds3105	98	118	28	61	184	215
cds3106	306	346	114	60	415	125
cds3107	32	19	47	26	58	123
cds3108	8	15	27	38	23	73
cds3109	85	57	494	572	151	2028
cds311	7	8	0	4	19	39
cds3110	60	51	1351	1221	140	2484
cds3111	42	54	180	234	140	877
cds3112	1	2	0	0	6	58
cds3113	5	4	17	27	23	55
cds3114	54	52	95	43	84	191
cds3115	1	4	42	7	5	32
cds3116	120	122	103	81	290	104
cds3117	4	0	0	0	6	0
cds3118	4	2	0	0	2	0
cds3119	13	18	59	59	32	75
cds312	526	510	782	430	1170	2778
cds3120	10	1	50	12	13	24
cds3121	16	8	38	8	22	232
cds3122	561	580	2505	3327	847	7320
cds3123	1	6	0	13	13	30
cds3124	48	53	274	98	158	314
cds3125	1	3	0	23	8	35
cds3126	16	19	0	12	40	57
cds3127	5	4	34	31	25	140
cds3128	70	74	281	148	142	388
cds3129	4	2	24	12	20	50
cds313	549	485	65	174	1103	505
cds3130	3	2	0	0	5	7
cds3131	0	0	0	0	1	1
cds3132	35	31	57	57	51	96
cds3133	4	7	15	36	6	133
cds3134	2	0	0	8	9	15
cds3135	0	3	10	25	4	16
cds3136	1	0	60	0	4	25
cds3137	0	5	139	8	10	101
cds3138	6	16	163	61	47	392
cds3139	30	13	41	67	65	84
cds314	759	624	229	225	1215	687
cds3140	29	31	81	16	90	24
cds3141	47	41	38	69	95	134
cds3142	24	24	20	18	48	183
cds3143	3	7	98	107	21	222
cds3144	0	0	0	18	1	47
cds3145	35	5	631	514	37	848
cds3146	191	206	122	114	347	593
cds3147	0	0	26	7	2	40
cds3148	0	2	28	3	1	27
cds3149	0	2	27	0	0	16
cds315	664	611	247	308	1321	737
cds3150	0	0	53	8	0	29
cds3151	0	0	0	0	0	1
cds3152	0	0	0	0	3	25
cds3153	2	0	0	32	1	23
cds3154	2	1	0	13	2	47
cds3155	0	0	0	14	0	17
cds3156	9	5	28	8	15	23
cds3157	11	3	349	393	8	1510
cds3158	3	6	148	71	19	257
cds3159	751	503	369	326	1006	672
cds316	76	91	318	216	198	558
cds3160	301	203	576	313	438	502
cds3161	196	132	229	93	294	287
cds3162	373	233	159	142	571	309
cds3163	93	69	24	10	166	49
cds3164	232	209	84	46	380	170
cds3165	19	9	0	0	39	19
cds3166	52	31	78	11	89	42
cds3167	13	8	0	7	24	2
cds3168	26	28	81	36	68	64
cds3169	23	20	48	28	27	52
cds317	18	21	51	60	63	145
cds3170	10	5	27	25	2	33
cds3171	5	11	102	31	33	75
cds3172	1	0	18	10	2	48
cds3173	0	0	33	13	1	20
cds3174	232	297	127	11	548	36
cds3175	0	3	19	4	12	41
cds3176	2	2	0	30	14	54
cds3177	2	4	0	24	17	11
cds3178	2	5	58	32	3	36
cds3179	5	7	47	24	10	6
cds318	19	7	96	9	27	106
cds3180	0	0	0	5	0	31
cds3181	0	0	48	49	0	7
cds3182	0	0	0	0	0	17
cds3183	0	2	22	0	0	5
cds3184	0	0	0	17	0	26
cds3185	19	29	189	86	46	350
