	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1247	7	3	1	2	19	11
cds1248	4	6	4	0	6	12
cds1249	1	2	0	1	6	3
cds125	341	889	1035	376	274	280
cds1250	19	91	13	19	92	75
cds1251	4	0	0	0	0	5
cds1252	2	3	4	3	6	6
cds1253	9	10	0	0	0	6
cds1254	1	10	0	6	4	7
cds1255	197	672	436	260	29	87
cds1256	61	454	307	102	39	87
cds1257	13	53	12	8	16	6
cds1258	10	67	36	25	14	15
cds1259	124	942	446	246	215	469
cds126	41	86	40	32	42	45
cds1260	30	26	13	5	83	54
cds1261	92	241	313	183	24	39
cds1262	0	8	0	0	0	6
cds1263	181	222	148	145	193	247
cds1264	79	81	43	53	20	57
cds1265	122	118	93	47	205	141
cds1266	362	513	369	236	261	303
cds1267	128	1089	636	341	69	121
cds1268	41	98	43	29	47	94
cds1269	76	89	27	100	36	56
cds127	89	93	75	62	57	85
cds1270	1167	886	907	337	717	738
cds1271	457	59	51	74	348	250
cds1272	96	354	300	213	72	105
cds1273	30	108	112	83	35	54
cds1274	15	0	2	4	9	11
cds1275	26	2	12	1	12	34
cds1276	65	15	13	11	85	88
cds1277	116	33	28	17	65	150
cds1278	172	29	29	10	87	172
cds1279	641	37	59	32	507	704
cds128	181	187	203	104	137	68
cds1280	20	16	5	23	22	43
cds1281	309	832	573	483	252	372
cds1282	445	2109	1534	763	480	422
cds1283	215	1307	895	453	142	278
cds1284	47	359	226	93	52	88
cds1285	187	328	200	123	151	179
cds1286	189	798	527	282	185	231
cds1287	44	317	132	71	53	16
cds1288	44	236	190	82	9	28
cds1289	16	169	92	63	22	32
cds129	718	1687	1371	769	651	715
cds1290	980	677	246	224	938	993
cds1291	671	823	656	311	590	581
cds1292	344	826	550	219	320	363
cds1293	113	421	233	111	186	223
cds1294	53	237	177	82	32	67
cds1295	294	270	156	86	188	369
cds1296	0	5	3	0	6	5
cds1297	743	117	54	36	623	494
cds1298	77	67	28	34	44	99
cds1299	167	102	109	44	62	161
cds13	20	43	31	35	25	5
cds130	142	400	203	111	72	128
cds1300	11	59	44	20	24	33
cds1301	182	825	916	396	100	139
cds1302	85	148	120	77	71	46
cds1303	186	536	438	254	213	266
cds1304	8	217	215	65	13	0
cds1305	212	1396	1211	426	144	207
cds1306	52	342	258	166	72	76
cds1307	22	19	6	17	24	4
cds1308	42	99	138	97	73	151
cds1309	337	474	364	381	226	412
cds131	273	764	254	93	155	146
cds1310	85	115	114	105	61	60
cds1311	19	446	511	506	10	35
