	S763_vitro_1	S763_vitro_2	S763_col_1	S763_col_2	S763_vitro_3	S763_col_3
cds2443	3	0	0	0	0	12
cds2444	3	0	0	17	4	0
cds2445	54	33	0	1	56	18
cds2446	721	930	195	348	1482	402
cds2447	32	41	14	6	83	5
cds2448	16	7	8	8	36	48
cds2449	1	0	23	20	5	23
cds245	124	122	9	21	400	25
cds2450	0	4	0	0	3	13
cds2451	4	8	35	58	4	45
cds2452	7	6	7	0	7	9
cds2453	12	2	0	0	4	0
cds2454	4	0	0	13	1	0
cds2455	4	20	0	0	14	2
cds2456	0	4	0	0	4	2
cds2457	0	5	19	0	14	0
cds2458	43	62	0	18	122	51
cds2459	163	266	12	14	239	46
cds246	3	48	0	0	35	4
cds2460	3	3	0	14	1	37
cds2461	7	10	9	4	9	14
cds2462	29	49	15	22	85	29
cds2463	12	0	0	1	2	10
cds2464	70	128	89	214	131	149
cds2465	8	3	12	8	4	3
cds2466	9	7	0	5	29	14
cds2467	12	29	25	8	38	36
cds2468	14	26	0	8	18	13
cds2469	3	16	0	1	22	48
cds247	351	1009	45	21	2013	72
cds2470	26	96	22	12	120	33
cds2471	7	40	0	12	39	17
cds2472	57	53	2	30	54	20
cds2473	21	9	17	69	43	62
cds2474	18	16	22	22	28	55
cds2475	4	8	0	0	20	2
cds2476	29	65	80	118	61	110
cds2477	0	10	0	0	2	9
cds2478	28	37	0	19	37	11
cds2479	4	206	29	22	46	54
cds248	812	2341	18	48	4224	54
cds2480	21	328	32	38	169	62
cds2481	18	217	17	34	131	36
cds2482	3	0	0	0	4	1
cds2483	4	15	13	7	6	12
cds2484	33	23	134	101	56	167
cds2485	18	15	46	59	25	107
cds2486	8	5	0	7	8	34
cds2487	31	39	30	14	65	101
cds2488	0	1	0	0	0	9
cds2489	7	14	0	0	29	7
cds249	85	174	10	10	305	7
cds2490	67	58	17	17	94	13
cds2491	0	5	0	17	7	9
cds2492	3	1	0	0	17	0
cds2493	6	6	0	6	9	0
cds2494	3	15	0	0	27	0
cds2495	7	0	0	0	1	3
cds2496	0	5	18	0	4	2
cds2497	16	19	35	4	64	38
cds2498	10	12	27	29	41	49
cds2499	4	18	0	39	19	28
cds25	94	96	56	24	216	63
cds250	0	0	0	0	0	0
cds2500	2	22	0	1	23	3
cds2501	32	23	0	7	51	36
cds2502	4	33	0	4	9	14
cds2503	16	28	7	0	34	19
cds2504	3	2	0	0	7	0
cds2505	9	9	0	0	22	6
cds2506	33	29	0	13	35	4
cds2507	131	187	2	17	240	45
cds2508	87	154	29	3	75	31
cds2509	70	208	8	25	56	19
cds251	0	3	0	10	3	3
cds2510	989	531	36	132	859	231
cds2511	24	16	11	0	18	0
cds2512	113	86	206	312	108	130
cds2513	290	186	18	71	551	56
cds2514	945	948	246	200	1779	331
cds2515	153	94	30	21	308	91
cds2516	1802	1146	410	664	2470	696
cds2517	195	214	23	37	525	110
cds2518	78	98	0	24	254	40
cds2519	528	554	128	137	1148	141
cds252	26	15	0	14	28	43
cds2520	220	253	22	39	791	34
cds2521	413	411	333	418	1177	339
cds2522	38	45	0	5	104	6
cds2523	555	343	92	105	706	160
cds2524	74	75	5	13	309	60
cds2525	39	31	26	6	114	33
cds2526	145	88	9	22	494	14
cds2527	640	373	45	44	1383	109
cds2528	355	170	0	0	669	7
cds2529	12	20	0	0	131	9
cds253	7	36	6	8	14	4
cds2530	165	165	26	48	287	72
cds2531	33	26	6	23	101	60
cds2532	26	13	10	8	118	4
cds2533	92	71	9	3	213	11
cds2534	143	127	3	15	276	37
cds2535	204	219	71	50	415	33
cds2536	49	37	13	16	102	17
cds2537	69	72	26	9	142	15
cds2538	14	11	15	15	48	19
cds2539	20	58	65	78	53	227
cds254	22	13	0	0	22	21
cds2540	472	340	56	61	1124	101
cds2541	209	146	19	21	533	9
cds2542	99	101	15	2	338	26
cds2543	5	6	0	6	31	7
cds2544	31	28	0	11	48	36
cds2545	260	256	55	82	419	207
cds2546	132	191	270	442	378	295
cds2547	2846	1421	229	188	11247	244
cds2548	1084	422	107	78	3233	79
cds2549	1291	720	114	122	5210	146
cds255	53	65	12	9	157	36
cds2550	176	122	48	29	642	89
cds2551	200	260	37	96	630	95
cds2552	393	388	105	175	668	373
cds2553	116	129	28	106	377	136
cds2554	38	38	24	12	52	58
cds2555	18	36	10	0	40	16
cds2556	49	76	0	5	140	10
cds2557	31	69	0	0	116	15
cds2558	37	86	17	3	202	26
cds2559	90	85	39	17	153	71
cds256	7	4	149	174	5	339
cds2560	399	563	215	226	964	250
cds2561	14	19	10	1	44	12
cds2562	82	108	17	46	276	78
cds2563	836	765	87	206	1410	232
cds2564	5536	6937	942	1742	10124	1824
cds2565	64	57	20	13	101	39
cds2566	308	458	47	117	580	160
cds2567	78	82	28	1	175	43
cds2568	9	22	2	9	63	24
cds2569	52	62	18	2	153	26
cds257	2	0	269	269	0	635
cds2570	29	21	6	5	47	3
cds2571	112	96	10	14	223	7
cds2572	265	247	43	32	584	104
cds2573	71	119	0	22	166	16
cds2574	13	19	12	8	11	19
cds2575	415	377	133	174	1077	328
cds2576	37	38	26	8	151	20
cds2577	59	93	0	6	198	25
cds2578	164	243	67	135	430	174
cds2579	454	525	53	34	1215	112
cds258	1	2	82	72	1	150
cds2580	13	4	0	0	15	0
cds2581	53	49	5	17	102	37
cds2582	22	71	11	5	72	89
cds2583	100	289	79	90	167	163
cds2584	50	121	65	59	83	71
cds2585	414	310	125	67	239	151
cds2586	202	232	36	54	767	58
cds2587	209	167	47	44	274	41
cds2588	293	303	51	132	700	171
cds2589	451	534	381	483	1270	639
cds259	4	1	63	103	5	59
cds2590	681	478	238	230	1581	240
cds2591	14	0	0	12	7	3
cds2592	74	78	7	0	143	43
cds2593	55	49	65	66	203	205
cds2594	908	1608	72	70	2101	164
cds2595	5494	3784	399	410	12123	667
cds2596	1705	1522	190	250	5649	467
cds2597	286	455	84	94	738	129
cds2598	370	571	194	386	1217	618
cds2599	429	429	106	82	1142	200
cds26	44	119	10	37	159	29
cds260	8	12	10	0	22	0
cds2600	8	9	6	0	81	40
cds2601	11	16	13	6	21	6
cds2602	740	488	67	36	1903	210
cds2603	73	32	0	18	92	81
cds2604	132	175	39	59	158	49
cds2605	41	333	35	81	131	141
cds2606	78	128	12	10	278	44
cds2607	1	13	0	0	7	2
cds2608	3	15	10	4	7	8
cds2609	14	19	18	8	52	23
cds261	10	19	17	9	12	2
cds2610	148	188	64	52	439	84
cds2611	108	135	19	18	251	56
cds2612	187	320	26	108	376	83
cds2613	6	14	0	0	10	0
cds2614	53	96	37	21	206	73
cds2615	332	323	18	62	854	102
cds2616	29	78	1853	2418	91	3430
cds2617	2535	2677	239	420	4881	522
cds2618	5	4	5	7	10	6
cds2619	23	12	48	144	23	189
cds262	31	29	10	11	36	21
cds2620	7	6	0	0	23	8
cds2621	88	80	16	19	266	17
cds2622	27	19	16	11	55	81
cds2623	86	130	15	45	302	49
cds2624	37297	62009	1273	1433	74063	3540
cds2625	2901	5178	310	369	6933	390
cds2626	10424	19638	539	622	19623	840
cds2627	623	1327	7	47	1745	73
cds2628	30	11	0	8	39	30
cds2629	1	1	3	0	3	5
cds263	14	20	13	8	42	17
cds2630	12	4	0	0	39	14
cds2631	715	944	66	63	1317	69
cds2632	1692	1388	202	276	4522	232
cds2633	223	141	36	0	601	37
cds2634	413	448	22	81	840	136
cds2635	33	39	0	0	131	9
cds2636	96	94	12	15	169	27
cds2637	32	57	8	0	82	17
cds2638	42	35	0	0	136	15
cds2639	378	364	77	98	775	105
cds264	34	37	11	12	90	52
cds2640	196	277	71	64	533	73
cds2641	114	167	66	43	328	38
cds2642	3	53	8	0	70	27
cds2643	23	12	0	3	46	1
cds2644	6454	5208	528	944	11990	896
cds2645	4589	4090	354	593	10551	641
cds2646	211	168	52	13	735	15
cds2647	414	356	7	3	644	5
cds2648	606	463	85	211	1247	200
cds2649	344	398	158	146	985	293
cds265	8	18	0	7	15	19
cds2650	0	4	19	4	19	21
cds2651	9	17	8	10	38	47
cds2652	4	8	21	16	28	44
cds2653	9094	18595	1270	1879	14854	1317
cds2654	505	729	89	117	1017	124
cds2655	349	537	23	61	853	79
cds2656	310	481	62	54	906	104
cds2657	34	73	0	0	106	41
cds2658	116	186	13	14	451	31
cds2659	66	120	44	47	210	45
cds266	37	32	14	2	46	32
cds2660	96	226	0	36	237	140
cds2661	597	834	154	300	1065	268
cds2662	41	78	3	0	90	0
cds2663	1745	1850	264	473	3572	451
cds2664	59	141	32	6	314	24
cds2665	52	31	19	0	104	10
cds2666	97	172	11	32	262	13
cds2667	98	132	22	11	228	15
cds2668	2547	2234	176	208	6588	257
cds2669	39	59	0	11	62	32
cds267	4	16	0	16	11	24
cds2670	1310	7490	1191	1894	3834	2620
cds2671	4	117	2	14	68	66
cds2672	122	1155	183	308	382	227
cds2673	184	1385	163	246	509	283
cds2674	64	987	82	120	179	199
cds2675	256	350	62	104	803	163
cds2676	38	71	55	59	124	105
cds2677	0	24	22	9	59	6
cds2678	51	124	32	34	192	54
cds2679	24	52	0	16	67	13
cds268	34	50	9	10	50	42
cds2680	79	97	58	60	237	105
cds2681	52	110	12	43	195	29
cds2682	6	7	0	0	15	1
cds2683	146	184	3	31	460	53
cds2684	123	169	16	50	371	82
cds2685	178	218	11	38	497	44
cds2686	0	7	18	0	25	0
cds2687	58	61	0	5	151	13
cds2688	16	41	14	10	37	10
cds2689	10	8	0	7	103	1
cds269	6	10	17	23	40	12
cds2690	266	272	48	21	553	208
cds2691	52	26	125	180	61	206
cds2692	5	14	0	0	40	14
cds2693	18	26	7	5	46	24
cds2694	10	5	17	26	26	0
cds2695	6	8	7	29	19	34
cds2696	531	818	66	105	1497	208
cds2697	55	93	16	37	177	37
cds2698	63	98	38	6	293	43
cds2699	328	507	76	178	1105	343
cds27	13	43	7	0	92	30
cds270	6	9	0	0	23	5
cds2700	2	5	0	0	7	0
cds2701	206	203	62	88	413	47
cds2702	104	130	10	35	399	46
cds2703	291	281	29	44	607	36
cds2704	77	106	38	21	210	14
cds2705	253	222	25	23	604	57
cds2706	181	140	28	60	355	42
cds2707	16	24	0	6	48	56
cds2708	699	916	506	450	1035	1391
cds2709	130	199	57	46	360	133
cds271	7	5	0	2	6	0
cds2710	63	109	0	0	236	44
cds2711	123	253	51	58	487	103
cds2712	413	571	54	48	1534	72
cds2713	405	651	67	8	1142	131
cds2714	705	957	295	325	1992	430
cds2715	199	250	133	56	503	82
cds2716	40	29	11	5	111	16
cds2717	23	53	18	40	57	8
cds2718	38	57	24	26	96	25
cds2719	342	460	114	91	1156	151
cds272	11	24	7	21	39	7
cds2720	126	172	22	31	243	98
cds2721	40	72	9	16	174	19
cds2722	20	25	10	22	106	22
cds2723	174	1008	57	51	1161	65
cds2724	17	15	27	8	55	2
cds2725	21	13	21	13	39	78
cds2726	51	60	29	33	106	36
cds2727	240	218	108	157	487	40
cds2728	395	528	41	19	1171	91
cds2729	75	61	3	8	230	33
cds273	1	17	0	0	39	11
cds2730	72	53	0	10	154	14
cds2731	388	325	3	74	629	68
cds2732	0	10	12	12	58	8
cds2733	512	581	0	54	1491	29
cds2734	1178	1136	228	146	2508	260
cds2735	7534	9395	951	1188	13945	853
cds2736	22	39	7	9	100	3
cds2737	104	197	121	207	382	299
cds2738	75	98	63	36	167	136
cds2739	15	5	18	42	15	40
cds274	12	11	75	27	34	63
cds2740	9	14	6	11	26	5
cds2741	371	224	20	69	661	62
cds2742	34	37	0	19	93	12
cds2743	5	4	0	0	15	8
cds2744	2	0	0	0	4	7
cds2745	811	864	137	131	1271	193
cds2746	30	25	22	74	33	35
cds2747	167	216	30	45	368	55
cds2748	8	18	0	0	18	0
cds2749	31	39	19	11	78	4
cds275	11	37	9	5	29	15
cds2750	282	358	66	81	595	166
cds2751	63	89	50	66	162	142
cds2752	146	295	58	87	516	79
cds2753	15	4	16	13	26	9
cds2754	235	289	6	6	400	56
cds2755	157	175	0	0	541	40
cds2756	30	53	0	6	59	9
cds2757	25	84	28	34	85	77
cds2758	0	3	0	4	8	1
cds2759	7	28	0	5	11	23
cds276	3	7	9	0	3	3
cds2760	0	3	0	4	0	16
cds2761	74	35	62	27	141	84
cds2762	20	28	26	16	29	30
cds2763	8	17	0	0	12	2
cds2764	300	397	134	184	889	326
cds2765	117	101	9	46	333	27
cds2766	1017	588	61	69	2218	147
cds2767	65	78	48	50	236	31
cds2768	34	61	0	32	136	32
cds2769	11	72	6	0	74	19
cds277	0	3	0	7	3	0
cds2770	7	7	0	6	14	3
cds2771	0	10	26	71	4	47
cds2772	1166	1157	49	21	4554	67
cds2773	4	0	0	3	13	4
cds2774	180	256	44	32	556	27
cds2775	58	21	0	0	88	6
cds2776	2090	862	107	80	2589	151
cds2777	124	156	68	93	371	324
cds2778	23	70	48	15	132	50
cds2779	65	59	14	0	107	23
cds278	55	48	11	0	75	11
cds2780	130	75	1	22	282	31
cds2781	818	1114	128	128	2285	116
cds2782	280	382	50	47	615	58
cds2783	146	189	0	4	358	20
cds2784	271	381	26	46	698	20
cds2785	320	462	87	100	1013	130
cds2786	182	289	23	76	482	91
cds2787	141	217	12	10	385	37
cds2788	492	648	44	55	1264	80
cds2789	52	125	0	0	131	6
cds279	60	60	1	18	197	16
cds2790	272	390	42	23	833	34
cds2791	12	14	0	0	31	15
cds2792	592	778	285	254	1113	402
cds2793	12	30	9	22	63	0
cds2794	26	33	0	8	155	7
cds2795	40	66	10	7	93	32
cds2796	11	11	0	0	35	5
cds2797	41	26	22	0	63	0
cds2798	17	370	37	28	31	40
cds2799	227	211	11	11	440	15
cds28	23	37	14	0	56	30
cds280	14	6	0	16	2	5
cds2800	343	334	31	35	990	31
cds2801	1292	1302	96	146	2226	109
cds2802	19	14	0	0	30	4
cds2803	602	1611	19	15	2142	23
cds2804	659	1252	44	80	1794	81
cds2805	73	162	77	49	241	20
cds2806	111	290	6	50	488	30
cds2807	7	72	0	0	103	39
cds2808	18	20	0	16	30	11
cds2809	38	58	0	9	99	23
cds281	9	17	0	0	16	0
cds2810	312	447	5	0	1173	15
cds2811	94	399	32	46	205	147
cds2812	94	134	27	35	225	65
cds2813	0	21	0	15	53	9
cds2814	38	422	28	110	91	126
cds2815	15	15	0	5	30	34
cds2816	20	57	10	34	61	57
cds2817	11	47	27	37	52	57
cds2818	55	48	37	153	77	63
cds2819	30	43	8	6	156	34
cds282	3	31	0	0	44	6
cds2820	24	21	0	18	81	8
cds2821	161	211	22	32	282	76
cds2822	11	17	0	0	34	0
cds2823	29	48	7	4	26	6
cds2824	652	489	178	178	1060	176
cds2825	56	66	20	19	184	27
cds2826	299	379	23	22	1104	39
cds2827	6	26	5	7	23	0
cds2828	20	29	11	9	40	32
cds2829	9	17	12	0	15	17
cds283	80	103	65	70	147	37
cds2830	9	0	0	7	1	6
cds2831	158	191	38	14	382	196
cds2832	161	169	12	4	471	76
cds2833	119	135	19	29	381	21
cds2834	208	226	40	82	599	84
cds2835	0	4	7	0	5	0
cds2836	36	33	1	0	67	7
cds2837	193	314	55	101	496	193
cds2838	21	39	19	16	79	7
cds2839	114	132	29	50	376	36
cds284	68	163	17	72	168	73
cds2840	814	795	140	96	1469	162
cds2841	129	121	63	94	285	295
cds2842	4	0	0	0	1	0
cds2843	2765	2826	239	162	6804	220
cds2844	1171	1012	55	24	3289	69
cds2845	350	377	47	102	862	116
cds2846	884	999	411	459	1384	388
cds2847	27	16	0	0	99	4
cds2848	62	49	8	0	97	35
cds2849	10	33	0	2	42	31
cds285	67	76	28	22	207	26
cds2850	5	3	0	0	10	0
cds2851	39	67	41	66	154	85
cds2852	16	74	15	2	103	39
cds2853	6	700	124	113	41	267
cds2854	38	1195	108	216	159	308
cds2855	16	15	0	7	45	9
cds2856	177	4193	125	191	431	334
cds2857	104	1228	65	66	178	91
cds2858	781	6885	249	294	1764	368
cds2859	36	226	17	40	91	30
cds286	36	45	8	29	122	31
cds2860	89	1222	21	99	312	100
cds2861	146	855	42	47	280	51
cds2862	151	1341	11	48	635	74
cds2863	158	912	116	140	687	122
cds2864	34	243	0	10	160	23
cds2865	51	265	38	34	304	39
cds2866	62	142	3	42	306	2
cds2867	0	0	5	0	14	2
cds2868	6	54	19	49	26	103
cds2869	14	11	83	72	6	138
cds287	3	2	19	20	3	30
cds2870	0	1	3	0	11	0
cds2871	2	12	43	16	4	23
cds2872	12	7	0	4	11	40
cds2873	99	93	49	0	306	107
cds2874	75	96	31	65	160	139
cds2875	17	12	8	0	14	8
cds2876	7	13	0	0	41	0
cds2877	594	706	79	91	1285	295
cds2878	526	524	72	95	1091	145
cds2879	15	36	14	0	81	18
cds288	0	0	0	21	0	18
cds2880	543	637	53	106	1294	114
cds2881	39	28	13	0	96	6
cds2882	4	14	0	16	26	11
cds2883	34	33	3	8	89	10
cds2884	47	43	90	128	75	141
cds2885	20	39	12	9	93	4
cds2886	729	689	374	449	1634	377
cds2887	979	749	240	347	1855	316
cds2888	830	674	101	115	2212	185
cds2889	731	800	78	75	2382	195
cds289	2	0	0	0	0	0
cds2890	43	58	3	15	119	6
cds2891	0	5	0	0	8	9
cds2892	0	0	0	10	3	9
cds2893	0	0	0	0	4	0
cds2894	53	47	17	1	161	31
cds2895	287	305	13	29	609	64
cds2896	19	19	0	0	57	0
cds2897	35	14	0	5	75	3
cds2898	27	0	17	21	9	71
cds2899	18	6	20	5	23	12
cds29	15	0	20	21	40	15
cds290	5	5	25	20	0	12
cds2900	14	14	13	9	9	34
cds2901	468	416	77	148	694	186
cds2902	0	10	8	11	5	0
cds2903	0	0	0	0	0	0
cds2904	14	30	0	20	27	49
cds2905	3	4	4	5	11	13
cds2906	0	13	0	0	1	14
cds2907	3	3	0	6	32	2
cds2908	4	16	0	0	16	6
cds2909	36	95	52	50	111	48
cds291	25	15	132	188	21	153
cds2910	303	371	71	91	726	98
cds2911	407	506	61	47	710	72
cds2912	59	163	20	31	265	34
cds2913	9462	8294	641	707	24360	1082
cds2914	2289	2919	119	242	6289	233
cds2915	281	283	71	64	639	140
cds2916	11	59	46	89	72	36
cds2917	61	551	79	62	53	84
cds2918	3	19	0	17	12	18
cds2919	2	35	7	15	18	1
cds292	19	8	11	21	28	41
cds2920	14	111	0	9	30	10
cds2921	21	49	0	0	40	0
cds2922	14	73	23	6	72	9
cds2923	35	125	16	27	115	35
cds2924	23	76	1	13	80	4
cds2925	5	1	0	1	19	3
cds2926	17	10	0	0	20	0
cds2927	57	95	42	88	264	62
cds2928	39	74	31	18	57	26
cds2929	61	128	7	40	256	58
cds293	30	44	44	38	47	34
cds2930	29	34	0	6	87	1
cds2931	43	62	3	4	123	31
cds2932	67	90	23	35	214	67
cds2933	57	69	11	0	124	28
cds2934	16	19	9	17	59	9
cds2935	19	18	47	47	21	166
cds2936	2060	1426	211	263	3467	480
cds2937	2363	2780	379	566	6078	493
cds2938	1022	895	164	250	2266	438
cds2939	28	16	0	0	79	25
cds294	45	48	14	19	87	118
cds2940	19	22	1	7	57	18
cds2941	256	251	221	205	773	490
cds2942	190	245	147	117	752	54
cds2943	0	8	14	0	29	0
cds2944	267	310	53	96	683	219
cds2945	7	23	0	6	39	15
cds2946	349	401	34	87	913	104
cds2947	47	65	0	15	171	2
cds2948	91	42	35	10	251	28
cds2949	26	44	35	0	81	30
cds295	17	25	29	10	43	26
cds2950	111	157	152	135	373	163
cds2951	46	43	6	17	150	20
cds2952	73	89	73	37	178	126
cds2953	18	19	28	74	26	141
cds2954	332	364	96	175	1005	339
cds2955	336	208	1	46	821	62
cds2956	78	23	10	0	120	69
cds2957	85	39	11	7	177	26
cds2958	49	50	2	0	167	8
cds2959	17	31	9	0	58	22
cds296	6	19	8	0	22	12
cds2960	138	185	37	17	332	67
cds2961	2508	2412	167	162	4914	282
cds2962	804	1209	35	22	2091	49
cds2963	1641	2260	85	141	6624	172
cds2964	27	43	12	21	85	34
cds2965	353	490	930	1426	448	1230
cds2966	92	121	64	64	149	50
cds2967	27	18	0	0	75	24
cds2968	7	6	13	0	31	19
cds2969	24	31	0	40	44	50
cds297	0	10	0	1	19	7
cds2970	0	7	0	0	1	10
cds2971	0	2	0	38	7	21
cds2972	13	14	13	17	25	77
cds2973	89	121	68	72	142	88
cds2974	16	15	14	7	31	20
cds2975	19	12	0	0	31	1
cds2976	476	601	6	44	1323	63
cds2977	616	697	76	142	1675	67
cds2978	112	63	18	64	199	69
cds2979	96	77	43	85	169	54
cds298	11	16	15	23	6	46
cds2980	416	65	126	102	327	167
cds2981	107	29	15	25	95	25
cds2982	223	76	41	68	131	52
cds2983	135	42	0	72	86	56
cds2984	20	7	0	5	5	0
cds2985	400	180	38	87	320	113
cds2986	338	142	39	76	358	122
cds2987	1	14	0	0	24	0
cds2988	43	135	14	27	197	35
cds2989	0	2	0	0	13	2
cds299	7	20	37	41	41	17
cds2990	10	42	0	0	35	11
cds2991	6	5	20	0	56	0
cds2992	0	5	0	0	10	4
cds2993	42	65	5	0	167	54
cds2994	782	693	178	198	1525	338
cds2995	555	504	90	70	1146	106
cds2996	472	414	145	195	1085	192
cds2997	65	48	0	23	165	41
cds2998	92	87	23	5	228	89
cds2999	12	50	0	0	79	15
cds3	204	243	121	188	420	249
cds30	1228	1216	317	380	2803	637
cds300	19	11	0	8	32	34
cds3000	41	57	9	21	208	36
cds3001	88	149	25	49	291	40
cds3002	1959	2089	222	224	5173	339
cds3003	59	62	18	13	193	12
cds3004	90	78	0	31	257	5
cds3005	12	2	0	48	23	6
cds3006	6	32	0	0	17	21
cds3007	21	22	11	20	13	14
cds3008	32	19	5	0	50	0
cds3009	489	625	283	386	908	239
cds301	29	7	10	8	48	27
cds3010	206	422	61	185	896	109
cds3011	237	460	121	133	682	101
cds3012	1085	2416	276	505	3737	429
cds3013	63	142	13	100	248	156
cds3014	19	119	138	119	60	277
cds3015	20	20	0	0	19	11
cds3016	31	51	0	14	105	16
cds3017	14	97	128	240	88	608
cds3018	535	538	60	125	1173	120
cds3019	39	49	5	4	147	12
cds302	17	23	11	31	46	72
cds3020	110	106	12	21	345	8
cds3021	134	147	0	8	453	32
cds3022	70	98	9	12	392	22
cds3023	57	62	12	0	145	10
cds3024	27	25	0	3	105	0
cds3025	85	79	12	8	282	15
cds3026	1	17	0	1	12	13
cds3027	510	550	63	117	701	136
cds3028	990	1212	166	242	2528	527
cds3029	234	224	63	115	717	248
cds303	46	89	13	42	78	12
cds3030	87	70	20	31	331	31
cds3031	810	954	434	378	1765	562
cds3032	179	224	13	40	648	45
cds3033	418	968	194	125	969	218
cds3034	115	585	213	270	384	576
cds3035	42	60	14	13	120	26
cds3036	16	62	0	7	61	8
cds3037	55	86	48	10	100	32
cds3038	20	3	0	2	29	0
cds3039	299	421	60	68	467	155
cds304	33	19	2	3	50	1
cds3040	231	228	65	60	691	164
cds3041	117	180	64	88	470	69
cds3042	996	1606	284	363	2388	722
cds3043	62	132	7	39	148	49
cds3044	123	105	31	19	307	76
cds3045	115	148	27	21	278	59
cds3046	38	84	0	21	165	33
cds3047	159	126	87	81	263	225
cds3048	224	153	32	109	415	95
cds3049	417	316	65	54	727	256
cds305	36	37	41	6	101	30
cds3050	184	197	41	67	512	114
cds3051	501	675	108	181	1228	204
cds3052	233	251	41	24	496	33
cds3053	247	288	9	24	580	38
cds3054	635	614	60	92	1202	184
cds3055	240	256	38	49	690	104
cds3056	79	79	7	9	242	23
cds3057	76	85	18	14	220	20
cds3058	125	166	11	32	372	21
cds3059	48	48	0	10	102	5
cds306	10	18	0	0	22	11
cds3060	321	328	154	205	1133	364
cds3061	28	43	8	0	64	15
cds3062	15	54	0	18	50	21
cds3063	3092	2866	1361	1440	5999	1832
cds3064	50	58	16	13	135	13
cds3065	3591	3574	459	806	5131	709
cds3066	48	88	7	12	178	24
cds3067	153	139	22	26	304	78
cds3068	978	996	149	182	2028	245
cds3069	33	49	4	10	39	14
cds307	1	9	0	0	26	0
cds3070	6	18	0	0	48	19
cds3071	147	145	58	13	337	39
cds3072	145	216	146	154	1091	197
cds3073	470	493	37	49	848	175
cds3074	816	729	120	94	1779	294
cds3075	50	96	0	7	243	24
cds3076	707	983	401	568	1614	441
cds3077	229	218	154	78	510	148
cds3078	356	637	64	82	743	97
cds3079	52	87	12	21	186	28
cds308	8	10	0	6	19	5
cds3080	8	31	0	9	50	35
cds3081	4	0	11	0	4	0
cds3082	28	32	0	0	71	3
cds3083	1893	1875	1073	1669	4314	2488
cds3084	73	86	61	70	320	51
cds3085	24	4	0	12	22	0
cds3086	289	329	22	47	797	63
cds3087	795	666	51	66	2042	167
cds3088	0	0	0	0	0	0
cds3089	0	0	0	0	0	0
cds309	11	17	11	11	32	5
cds3090	0	0	0	0	0	0
cds3091	0	0	0	0	0	0
cds3092	0	0	0	0	0	0
cds3093	0	0	0	0	0	0
cds3094	0	0	0	0	0	0
cds3095	0	0	0	0	0	0
cds3096	0	0	0	0	0	0
cds3097	0	0	0	0	0	0
cds3098	0	0	0	0	0	0
cds3099	0	0	0	0	0	0
cds31	5	8	0	0	15	4
cds310	168	1408	282	298	617	593
cds3100	0	0	0	0	0	0
cds3101	0	0	0	0	0	0
cds3102	0	0	0	0	0	0
cds3103	0	0	0	0	0	0
cds3104	0	0	0	0	0	0
cds3105	0	0	0	0	0	0
cds3106	0	0	0	0	0	0
cds3107	0	0	0	0	0	0
cds3108	0	0	0	0	0	0
cds3109	0	0	0	0	0	0
cds311	26	86	62	31	40	40
cds3110	0	0	0	0	0	0
cds3111	0	0	0	0	0	0
cds3112	0	0	0	0	0	0
cds3113	0	0	0	0	0	0
cds3114	0	0	0	0	0	0
cds3115	0	0	0	0	0	0
cds3116	0	0	0	0	0	0
cds3117	0	0	0	0	0	0
cds3118	0	0	0	0	0	0
cds3119	0	0	0	0	0	0
cds312	36	66	47	60	25	71
cds3120	0	0	0	0	0	0
cds3121	0	0	0	0	0	0
cds3122	0	0	0	0	0	0
cds3123	0	0	0	0	0	0
cds3124	0	0	0	0	0	0
cds3125	0	0	0	0	0	0
cds3126	0	0	0	0	0	0
cds3127	0	0	0	0	0	0
cds3128	0	0	0	0	0	0
cds3129	0	0	0	0	0	0
cds313	20	137	20	17	38	35
cds3130	0	0	0	0	0	0
cds3131	0	0	0	0	0	0
cds3132	0	0	0	0	0	0
cds3133	0	0	0	0	0	0
cds3134	0	0	0	0	0	0
cds3135	0	0	0	0	0	0
cds3136	0	0	0	0	0	0
cds3137	0	0	0	0	0	0
cds3138	0	0	0	0	0	0
cds3139	0	0	0	0	0	0
cds314	45	78	13	5	27	43
cds3140	0	0	0	0	0	0
cds3141	0	0	0	0	0	0
cds3142	0	0	0	0	0	0
cds3143	0	0	0	0	0	0
cds3144	0	0	0	0	0	0
cds3145	0	0	0	0	0	0
cds3146	0	0	0	0	0	0
cds3147	0	0	0	0	0	0
cds3148	0	0	0	0	0	0
cds3149	0	0	0	0	0	0
cds315	4	32	0	0	16	11
cds3150	0	0	0	0	0	0
cds3151	85	239	0	5	297	13
cds3152	196	441	0	2	792	29
cds3153	297	597	0	8	668	0
cds3154	219	496	16	17	829	48
cds3155	2456	4058	50	83	4239	117
cds3156	28	66	0	0	77	6
cds3157	18	20	7	8	22	10
cds3158	87	122	132	252	193	413
cds3159	244	365	113	64	666	169
cds316	7	15	32	8	12	1
cds3160	19	6	29	0	32	28
cds3161	14	21	0	0	118	12
cds3162	14	4	0	0	31	2
cds3163	15	1	0	0	8	5
cds3164	362	407	89	44	904	51
cds3165	23	34	6	0	73	16
cds3166	58	65	17	9	152	0
cds3167	9	27	16	0	29	4
cds3168	35	37	0	0	133	23
cds3169	40	78	0	10	189	23
cds317	38	34	12	0	89	28
cds3170	116	191	0	73	389	17
cds3171	297	391	35	64	1109	54
cds3172	68	78	20	7	240	23
