	L187_col_1	L187_col_2	L187_vitro_1	L187_vitro_2	L187_vitro_3	L187_col_3
cds134	0	13	0	0	0	0
cds1340	7	16	301	235	1376	20
cds1341	2	8	19	3	53	9
cds1342	3	0	15	3	17	0
cds1343	0	8	0	2	4	0
cds1344	0	3	0	0	0	0
cds1345	0	0	1	0	9	0
cds1346	4	19	17	5	16	18
cds1347	0	6	6	1	8	1
cds1348	0	0	0	3	4	0
cds1349	0	35	6	5	12	6
cds135	0	3	3	1	5	0
cds1350	0	0	1	1	2	11
cds1351	1	24	76	35	133	15
cds1352	13	48	117	41	199	51
cds1353	0	0	6	5	19	0
cds1354	0	4	27	1	23	0
cds1355	0	14	9	1	9	0
cds1356	0	26	13	13	45	4
cds1357	0	4	6	5	11	0
cds1358	0	5	13	10	31	5
cds1359	0	0	3	0	16	8
cds136	3	0	20	10	9	2
cds1360	0	0	64	11	35	0
cds1361	2	0	61	4	29	5
cds1362	1	0	8	2	17	0
cds1363	4	0	0	2	6	0
cds1364	8	24	81	22	115	7
cds1365	11	60	193	113	752	12
cds1366	4	2	6	3	20	4
cds1367	6	21	81	100	526	20
cds1368	30	245	476	109	371	88
cds1369	6	34	166	50	123	26
cds137	11	41	404	277	1609	21
cds1370	22	202	141	39	188	16
cds1371	3	4	29	11	59	0
cds1372	1	11	3	1	11	18
cds1373	0	0	3	1	13	0
cds1374	0	0	8	1	24	0
cds1375	0	13	34	22	71	13
cds1376	2	0	29	3	59	11
cds1377	0	16	15	9	33	2
cds1378	0	0	6	1	20	0
cds1379	0	0	9	4	26	0
cds138	0	5	59	28	112	0
cds1380	7	24	108	100	399	33
cds1381	1	8	29	8	50	5
cds1382	14	41	204	46	210	17
cds1383	8	42	129	67	225	59
cds1384	2	7	31	11	57	9
cds1385	3	11	132	55	218	24
cds1386	8	50	98	67	289	52
cds1387	10	22	16	25	74	28
cds1388	1	3	10	2	8	4
cds1389	6	18	4	3	2	17
cds139	0	0	8	7	11	0
cds1390	0	18	16	11	42	2
cds1391	6	64	61	24	126	36
cds1392	20	59	32	11	49	38
cds1393	20	141	156	36	162	139
cds1394	5	17	149	41	196	11
cds1395	15	106	241	99	378	40
cds1396	20	87	313	99	507	68
cds1397	40	265	101	50	194	242
cds1398	0	12	9	2	10	3
cds1399	0	0	0	1	1	0
cds14	30	137	31	42	162	102
cds140	4	2	8	0	4	0
cds1400	11	74	38	23	78	106
cds1401	0	0	7	4	8	0
cds1402	2	0	1	0	3	1
cds1403	0	0	16	2	22	12
cds1404	1	0	13	6	38	0
cds1405	0	0	1	0	3	0
cds1406	7	10	104	58	285	41
cds1407	2	4	22	13	45	15
cds1408	5	1	8	3	22	8
cds1409	1	29	34	8	21	26
cds141	0	2	9	7	7	0
cds1410	3	17	46	6	20	27
cds1411	2	30	30	14	44	16
cds1412	7	18	12	4	13	15
cds1413	0	0	0	0	0	0
cds1414	3	6	23	7	55	3
cds1415	0	0	10	5	20	0
cds1416	0	8	8	2	15	0
cds1417	0	9	12	3	21	13
cds1418	1	23	21	11	32	15
cds1419	2	19	372	173	933	15
cds142	0	2	36	16	107	4
cds1420	3	17	215	127	538	19
cds1421	0	0	3	0	1	2
cds1422	0	4	5	0	13	19
cds1423	6	29	61	6	34	0
cds1424	2	0	11	2	10	0
cds1425	8	11	55	16	58	21
cds1426	6	101	240	112	376	65
cds1427	0	0	340	2	9	0
cds1428	0	0	804	5	24	0
